CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, TOTAL, Anul 2008, Lei, 1309
TOTAL, Total, TOTAL, Anul 2009, Lei, 1361
TOTAL, Total, TOTAL, Anul 2010, Lei, 1391
TOTAL, Total, TOTAL, Anul 2011, Lei, 1444
TOTAL, Total, TOTAL, Anul 2012, Lei, 1507
TOTAL, Total, TOTAL, Anul 2013, Lei, 1579
TOTAL, Total, TOTAL, Anul 2014, Lei, 1697
TOTAL, Total, TOTAL, Anul 2015, Lei, 1859
TOTAL, Total, TOTAL, Anul 2016, Lei, 2046
TOTAL, Total, TOTAL, Anul 2017, Lei, 2338
TOTAL, Total, MACROREGIUNEA UNU, Anul 2008, Lei, 1134
TOTAL, Total, MACROREGIUNEA UNU, Anul 2009, Lei, 1191
TOTAL, Total, MACROREGIUNEA UNU, Anul 2010, Lei, 1203
TOTAL, Total, MACROREGIUNEA UNU, Anul 2011, Lei, 1243
TOTAL, Total, MACROREGIUNEA UNU, Anul 2012, Lei, 1305
TOTAL, Total, MACROREGIUNEA UNU, Anul 2013, Lei, 1368
TOTAL, Total, MACROREGIUNEA UNU, Anul 2014, Lei, 1491
TOTAL, Total, MACROREGIUNEA UNU, Anul 2015, Lei, 1639
TOTAL, Total, MACROREGIUNEA UNU, Anul 2016, Lei, 1850
TOTAL, Total, MACROREGIUNEA UNU, Anul 2017, Lei, 2144
TOTAL, Total, Regiunea NORD-VEST, Anul 2008, Lei, 1119
TOTAL, Total, Regiunea NORD-VEST, Anul 2009, Lei, 1161
TOTAL, Total, Regiunea NORD-VEST, Anul 2010, Lei, 1168
TOTAL, Total, Regiunea NORD-VEST, Anul 2011, Lei, 1208
TOTAL, Total, Regiunea NORD-VEST, Anul 2012, Lei, 1280
TOTAL, Total, Regiunea NORD-VEST, Anul 2013, Lei, 1342
TOTAL, Total, Regiunea NORD-VEST, Anul 2014, Lei, 1481
TOTAL, Total, Regiunea NORD-VEST, Anul 2015, Lei, 1618
TOTAL, Total, Regiunea NORD-VEST, Anul 2016, Lei, 1833
TOTAL, Total, Regiunea NORD-VEST, Anul 2017, Lei, 2140
TOTAL, Total, Bihor, Anul 2008, Lei, 1004
TOTAL, Total, Bihor, Anul 2009, Lei, 1025
TOTAL, Total, Bihor, Anul 2010, Lei, 1074
TOTAL, Total, Bihor, Anul 2011, Lei, 1086
TOTAL, Total, Bihor, Anul 2012, Lei, 1123
TOTAL, Total, Bihor, Anul 2013, Lei, 1155
TOTAL, Total, Bihor, Anul 2014, Lei, 1299
TOTAL, Total, Bihor, Anul 2015, Lei, 1396
TOTAL, Total, Bihor, Anul 2016, Lei, 1563
TOTAL, Total, Bihor, Anul 2017, Lei, 1871
TOTAL, Total, Bistrita-Nasaud, Anul 2008, Lei, 1085
TOTAL, Total, Bistrita-Nasaud, Anul 2009, Lei, 1115
TOTAL, Total, Bistrita-Nasaud, Anul 2010, Lei, 1088
TOTAL, Total, Bistrita-Nasaud, Anul 2011, Lei, 1107
TOTAL, Total, Bistrita-Nasaud, Anul 2012, Lei, 1159
TOTAL, Total, Bistrita-Nasaud, Anul 2013, Lei, 1198
TOTAL, Total, Bistrita-Nasaud, Anul 2014, Lei, 1273
TOTAL, Total, Bistrita-Nasaud, Anul 2015, Lei, 1483
TOTAL, Total, Bistrita-Nasaud, Anul 2016, Lei, 1587
TOTAL, Total, Bistrita-Nasaud, Anul 2017, Lei, 1815
TOTAL, Total, Cluj, Anul 2008, Lei, 1315
TOTAL, Total, Cluj, Anul 2009, Lei, 1387
TOTAL, Total, Cluj, Anul 2010, Lei, 1389
TOTAL, Total, Cluj, Anul 2011, Lei, 1467
TOTAL, Total, Cluj, Anul 2012, Lei, 1574
TOTAL, Total, Cluj, Anul 2013, Lei, 1672
TOTAL, Total, Cluj, Anul 2014, Lei, 1857
TOTAL, Total, Cluj, Anul 2015, Lei, 2025
TOTAL, Total, Cluj, Anul 2016, Lei, 2340
TOTAL, Total, Cluj, Anul 2017, Lei, 2668
TOTAL, Total, Maramures, Anul 2008, Lei, 1018
TOTAL, Total, Maramures, Anul 2009, Lei, 1046
TOTAL, Total, Maramures, Anul 2010, Lei, 1025
TOTAL, Total, Maramures, Anul 2011, Lei, 1043
TOTAL, Total, Maramures, Anul 2012, Lei, 1153
TOTAL, Total, Maramures, Anul 2013, Lei, 1165
TOTAL, Total, Maramures, Anul 2014, Lei, 1292
TOTAL, Total, Maramures, Anul 2015, Lei, 1376
TOTAL, Total, Maramures, Anul 2016, Lei, 1572
TOTAL, Total, Maramures, Anul 2017, Lei, 1886
TOTAL, Total, Satu Mare, Anul 2008, Lei, 1041
TOTAL, Total, Satu Mare, Anul 2009, Lei, 1064
TOTAL, Total, Satu Mare, Anul 2010, Lei, 1065
TOTAL, Total, Satu Mare, Anul 2011, Lei, 1118
TOTAL, Total, Satu Mare, Anul 2012, Lei, 1161
TOTAL, Total, Satu Mare, Anul 2013, Lei, 1279
TOTAL, Total, Satu Mare, Anul 2014, Lei, 1344
TOTAL, Total, Satu Mare, Anul 2015, Lei, 1465
TOTAL, Total, Satu Mare, Anul 2016, Lei, 1659
TOTAL, Total, Satu Mare, Anul 2017, Lei, 1931
TOTAL, Total, Salaj, Anul 2008, Lei, 1076
TOTAL, Total, Salaj, Anul 2009, Lei, 1152
TOTAL, Total, Salaj, Anul 2010, Lei, 1119
TOTAL, Total, Salaj, Anul 2011, Lei, 1135
TOTAL, Total, Salaj, Anul 2012, Lei, 1159
TOTAL, Total, Salaj, Anul 2013, Lei, 1219
TOTAL, Total, Salaj, Anul 2014, Lei, 1327
TOTAL, Total, Salaj, Anul 2015, Lei, 1493
TOTAL, Total, Salaj, Anul 2016, Lei, 1604
TOTAL, Total, Salaj, Anul 2017, Lei, 1891
TOTAL, Total, Regiunea CENTRU, Anul 2008, Lei, 1150
TOTAL, Total, Regiunea CENTRU, Anul 2009, Lei, 1223
TOTAL, Total, Regiunea CENTRU, Anul 2010, Lei, 1240
TOTAL, Total, Regiunea CENTRU, Anul 2011, Lei, 1279
TOTAL, Total, Regiunea CENTRU, Anul 2012, Lei, 1330
TOTAL, Total, Regiunea CENTRU, Anul 2013, Lei, 1394
TOTAL, Total, Regiunea CENTRU, Anul 2014, Lei, 1501
TOTAL, Total, Regiunea CENTRU, Anul 2015, Lei, 1661
TOTAL, Total, Regiunea CENTRU, Anul 2016, Lei, 1869
TOTAL, Total, Regiunea CENTRU, Anul 2017, Lei, 2149
TOTAL, Total, Alba, Anul 2008, Lei, 1128
TOTAL, Total, Alba, Anul 2009, Lei, 1142
TOTAL, Total, Alba, Anul 2010, Lei, 1241
TOTAL, Total, Alba, Anul 2011, Lei, 1228
TOTAL, Total, Alba, Anul 2012, Lei, 1276
TOTAL, Total, Alba, Anul 2013, Lei, 1323
TOTAL, Total, Alba, Anul 2014, Lei, 1433
TOTAL, Total, Alba, Anul 2015, Lei, 1588
TOTAL, Total, Alba, Anul 2016, Lei, 1767
TOTAL, Total, Alba, Anul 2017, Lei, 2057
TOTAL, Total, Brasov, Anul 2008, Lei, 1226
TOTAL, Total, Brasov, Anul 2009, Lei, 1323
TOTAL, Total, Brasov, Anul 2010, Lei, 1304
TOTAL, Total, Brasov, Anul 2011, Lei, 1385
TOTAL, Total, Brasov, Anul 2012, Lei, 1463
TOTAL, Total, Brasov, Anul 2013, Lei, 1486
TOTAL, Total, Brasov, Anul 2014, Lei, 1604
TOTAL, Total, Brasov, Anul 2015, Lei, 1783
TOTAL, Total, Brasov, Anul 2016, Lei, 2020
TOTAL, Total, Brasov, Anul 2017, Lei, 2314
TOTAL, Total, Covasna, Anul 2008, Lei, 987
TOTAL, Total, Covasna, Anul 2009, Lei, 1037
TOTAL, Total, Covasna, Anul 2010, Lei, 1062
TOTAL, Total, Covasna, Anul 2011, Lei, 1085
TOTAL, Total, Covasna, Anul 2012, Lei, 1119
TOTAL, Total, Covasna, Anul 2013, Lei, 1179
TOTAL, Total, Covasna, Anul 2014, Lei, 1267
TOTAL, Total, Covasna, Anul 2015, Lei, 1400
TOTAL, Total, Covasna, Anul 2016, Lei, 1542
TOTAL, Total, Covasna, Anul 2017, Lei, 1858
TOTAL, Total, Harghita, Anul 2008, Lei, 998
TOTAL, Total, Harghita, Anul 2009, Lei, 1099
TOTAL, Total, Harghita, Anul 2010, Lei, 1025
TOTAL, Total, Harghita, Anul 2011, Lei, 1054
TOTAL, Total, Harghita, Anul 2012, Lei, 1072
TOTAL, Total, Harghita, Anul 2013, Lei, 1130
TOTAL, Total, Harghita, Anul 2014, Lei, 1251
TOTAL, Total, Harghita, Anul 2015, Lei, 1375
TOTAL, Total, Harghita, Anul 2016, Lei, 1519
TOTAL, Total, Harghita, Anul 2017, Lei, 1796
TOTAL, Total, Mures, Anul 2008, Lei, 1133
TOTAL, Total, Mures, Anul 2009, Lei, 1207
TOTAL, Total, Mures, Anul 2010, Lei, 1238
TOTAL, Total, Mures, Anul 2011, Lei, 1252
TOTAL, Total, Mures, Anul 2012, Lei, 1315
TOTAL, Total, Mures, Anul 2013, Lei, 1386
TOTAL, Total, Mures, Anul 2014, Lei, 1509
TOTAL, Total, Mures, Anul 2015, Lei, 1630
TOTAL, Total, Mures, Anul 2016, Lei, 1853
TOTAL, Total, Mures, Anul 2017, Lei, 2112
TOTAL, Total, Sibiu, Anul 2008, Lei, 1230
TOTAL, Total, Sibiu, Anul 2009, Lei, 1311
TOTAL, Total, Sibiu, Anul 2010, Lei, 1342
TOTAL, Total, Sibiu, Anul 2011, Lei, 1398
TOTAL, Total, Sibiu, Anul 2012, Lei, 1429
TOTAL, Total, Sibiu, Anul 2013, Lei, 1543
TOTAL, Total, Sibiu, Anul 2014, Lei, 1616
TOTAL, Total, Sibiu, Anul 2015, Lei, 1822
TOTAL, Total, Sibiu, Anul 2016, Lei, 2046
TOTAL, Total, Sibiu, Anul 2017, Lei, 2315
TOTAL, Total, MACROREGIUNEA DOI, Anul 2008, Lei, 1173
TOTAL, Total, MACROREGIUNEA DOI, Anul 2009, Lei, 1231
TOTAL, Total, MACROREGIUNEA DOI, Anul 2010, Lei, 1213
TOTAL, Total, MACROREGIUNEA DOI, Anul 2011, Lei, 1237
TOTAL, Total, MACROREGIUNEA DOI, Anul 2012, Lei, 1268
TOTAL, Total, MACROREGIUNEA DOI, Anul 2013, Lei, 1351
TOTAL, Total, MACROREGIUNEA DOI, Anul 2014, Lei, 1455
TOTAL, Total, MACROREGIUNEA DOI, Anul 2015, Lei, 1581
TOTAL, Total, MACROREGIUNEA DOI, Anul 2016, Lei, 1722
TOTAL, Total, MACROREGIUNEA DOI, Anul 2017, Lei, 2013
TOTAL, Total, Regiunea NORD-EST, Anul 2008, Lei, 1155
TOTAL, Total, Regiunea NORD-EST, Anul 2009, Lei, 1207
TOTAL, Total, Regiunea NORD-EST, Anul 2010, Lei, 1192
TOTAL, Total, Regiunea NORD-EST, Anul 2011, Lei, 1199
TOTAL, Total, Regiunea NORD-EST, Anul 2012, Lei, 1229
TOTAL, Total, Regiunea NORD-EST, Anul 2013, Lei, 1321
TOTAL, Total, Regiunea NORD-EST, Anul 2014, Lei, 1437
TOTAL, Total, Regiunea NORD-EST, Anul 2015, Lei, 1562
TOTAL, Total, Regiunea NORD-EST, Anul 2016, Lei, 1718
TOTAL, Total, Regiunea NORD-EST, Anul 2017, Lei, 2038
TOTAL, Total, Bacau, Anul 2008, Lei, 1254
TOTAL, Total, Bacau, Anul 2009, Lei, 1319
TOTAL, Total, Bacau, Anul 2010, Lei, 1272
TOTAL, Total, Bacau, Anul 2011, Lei, 1256
TOTAL, Total, Bacau, Anul 2012, Lei, 1288
TOTAL, Total, Bacau, Anul 2013, Lei, 1355
TOTAL, Total, Bacau, Anul 2014, Lei, 1455
TOTAL, Total, Bacau, Anul 2015, Lei, 1581
TOTAL, Total, Bacau, Anul 2016, Lei, 1739
TOTAL, Total, Bacau, Anul 2017, Lei, 2031
TOTAL, Total, Botosani, Anul 2008, Lei, 1036
TOTAL, Total, Botosani, Anul 2009, Lei, 1122
TOTAL, Total, Botosani, Anul 2010, Lei, 1085
TOTAL, Total, Botosani, Anul 2011, Lei, 1074
TOTAL, Total, Botosani, Anul 2012, Lei, 1126
TOTAL, Total, Botosani, Anul 2013, Lei, 1216
TOTAL, Total, Botosani, Anul 2014, Lei, 1347
TOTAL, Total, Botosani, Anul 2015, Lei, 1491
TOTAL, Total, Botosani, Anul 2016, Lei, 1571
TOTAL, Total, Botosani, Anul 2017, Lei, 1887
TOTAL, Total, Iasi, Anul 2008, Lei, 1257
TOTAL, Total, Iasi, Anul 2009, Lei, 1310
TOTAL, Total, Iasi, Anul 2010, Lei, 1322
TOTAL, Total, Iasi, Anul 2011, Lei, 1342
TOTAL, Total, Iasi, Anul 2012, Lei, 1371
TOTAL, Total, Iasi, Anul 2013, Lei, 1499
TOTAL, Total, Iasi, Anul 2014, Lei, 1649
TOTAL, Total, Iasi, Anul 2015, Lei, 1798
TOTAL, Total, Iasi, Anul 2016, Lei, 1940
TOTAL, Total, Iasi, Anul 2017, Lei, 2338
TOTAL, Total, Neamt, Anul 2008, Lei, 1040
TOTAL, Total, Neamt, Anul 2009, Lei, 1080
TOTAL, Total, Neamt, Anul 2010, Lei, 1095
TOTAL, Total, Neamt, Anul 2011, Lei, 1114
TOTAL, Total, Neamt, Anul 2012, Lei, 1123
TOTAL, Total, Neamt, Anul 2013, Lei, 1198
TOTAL, Total, Neamt, Anul 2014, Lei, 1274
TOTAL, Total, Neamt, Anul 2015, Lei, 1359
TOTAL, Total, Neamt, Anul 2016, Lei, 1575
TOTAL, Total, Neamt, Anul 2017, Lei, 1866
TOTAL, Total, Suceava, Anul 2008, Lei, 1091
TOTAL, Total, Suceava, Anul 2009, Lei, 1117
TOTAL, Total, Suceava, Anul 2010, Lei, 1109
TOTAL, Total, Suceava, Anul 2011, Lei, 1136
TOTAL, Total, Suceava, Anul 2012, Lei, 1148
TOTAL, Total, Suceava, Anul 2013, Lei, 1256
TOTAL, Total, Suceava, Anul 2014, Lei, 1352
TOTAL, Total, Suceava, Anul 2015, Lei, 1489
TOTAL, Total, Suceava, Anul 2016, Lei, 1593
TOTAL, Total, Suceava, Anul 2017, Lei, 1876
TOTAL, Total, Vaslui, Anul 2008, Lei, 1060
TOTAL, Total, Vaslui, Anul 2009, Lei, 1126
TOTAL, Total, Vaslui, Anul 2010, Lei, 1071
TOTAL, Total, Vaslui, Anul 2011, Lei, 1046
TOTAL, Total, Vaslui, Anul 2012, Lei, 1125
TOTAL, Total, Vaslui, Anul 2013, Lei, 1172
TOTAL, Total, Vaslui, Anul 2014, Lei, 1304
TOTAL, Total, Vaslui, Anul 2015, Lei, 1387
TOTAL, Total, Vaslui, Anul 2016, Lei, 1627
TOTAL, Total, Vaslui, Anul 2017, Lei, 1877
TOTAL, Total, Regiunea SUD-EST, Anul 2008, Lei, 1190
TOTAL, Total, Regiunea SUD-EST, Anul 2009, Lei, 1255
TOTAL, Total, Regiunea SUD-EST, Anul 2010, Lei, 1234
TOTAL, Total, Regiunea SUD-EST, Anul 2011, Lei, 1276
TOTAL, Total, Regiunea SUD-EST, Anul 2012, Lei, 1307
TOTAL, Total, Regiunea SUD-EST, Anul 2013, Lei, 1381
TOTAL, Total, Regiunea SUD-EST, Anul 2014, Lei, 1473
TOTAL, Total, Regiunea SUD-EST, Anul 2015, Lei, 1600
TOTAL, Total, Regiunea SUD-EST, Anul 2016, Lei, 1727
TOTAL, Total, Regiunea SUD-EST, Anul 2017, Lei, 1987
TOTAL, Total, Braila, Anul 2008, Lei, 1125
TOTAL, Total, Braila, Anul 2009, Lei, 1180
TOTAL, Total, Braila, Anul 2010, Lei, 1131
TOTAL, Total, Braila, Anul 2011, Lei, 1160
TOTAL, Total, Braila, Anul 2012, Lei, 1178
TOTAL, Total, Braila, Anul 2013, Lei, 1263
TOTAL, Total, Braila, Anul 2014, Lei, 1348
TOTAL, Total, Braila, Anul 2015, Lei, 1462
TOTAL, Total, Braila, Anul 2016, Lei, 1587
TOTAL, Total, Braila, Anul 2017, Lei, 1859
TOTAL, Total, Buzau, Anul 2008, Lei, 1106
TOTAL, Total, Buzau, Anul 2009, Lei, 1166
TOTAL, Total, Buzau, Anul 2010, Lei, 1148
TOTAL, Total, Buzau, Anul 2011, Lei, 1177
TOTAL, Total, Buzau, Anul 2012, Lei, 1231
TOTAL, Total, Buzau, Anul 2013, Lei, 1294
TOTAL, Total, Buzau, Anul 2014, Lei, 1326
TOTAL, Total, Buzau, Anul 2015, Lei, 1484
TOTAL, Total, Buzau, Anul 2016, Lei, 1644
TOTAL, Total, Buzau, Anul 2017, Lei, 1903
TOTAL, Total, Constanta, Anul 2008, Lei, 1291
TOTAL, Total, Constanta, Anul 2009, Lei, 1391
TOTAL, Total, Constanta, Anul 2010, Lei, 1328
TOTAL, Total, Constanta, Anul 2011, Lei, 1403
TOTAL, Total, Constanta, Anul 2012, Lei, 1424
TOTAL, Total, Constanta, Anul 2013, Lei, 1486
TOTAL, Total, Constanta, Anul 2014, Lei, 1571
TOTAL, Total, Constanta, Anul 2015, Lei, 1735
