Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, TOTAL, Anul 1995, Numar persoane, 4703277
Total, Total, TOTAL, Anul 1996, Numar persoane, 4688311
Total, Total, TOTAL, Anul 1997, Numar persoane, 4643351
Total, Total, TOTAL, Anul 1998, Numar persoane, 4631164
Total, Total, TOTAL, Anul 1999, Numar persoane, 4578383
Total, Total, TOTAL, Anul 2000, Numar persoane, 4565279
Total, Total, TOTAL, Anul 2001, Numar persoane, 4554466
Total, Total, TOTAL, Anul 2002, Numar persoane, 4496786
Total, Total, TOTAL, Anul 2003, Numar persoane, 4472493
Total, Total, TOTAL, Anul 2004, Numar persoane, 4403880
Total, Total, TOTAL, Anul 2005, Numar persoane, 4360831
Total, Total, TOTAL, Anul 2006, Numar persoane, 4345581
Total, Total, TOTAL, Anul 2007, Numar persoane, 4404581
Total, Total, TOTAL, Anul 2008, Numar persoane, 4324992
Total, Total, TOTAL, Anul 2009, Numar persoane, 4176866
Total, Total, TOTAL, Anul 2010, Numar persoane, 4029226
Total, Total, TOTAL, Anul 2011, Numar persoane, 3823515
Total, Total, TOTAL, Anul 2012, Numar persoane, 3734326
Total, Total, TOTAL, Anul 2013, Numar persoane, 3650933
Total, Total, TOTAL, Anul 2014, Numar persoane, 3735552
Total, Total, TOTAL, Anul 2015, Numar persoane, 3642632
Total, Total, TOTAL, Anul 2016, Numar persoane, 3597280
Total, Total, TOTAL, Anul 2017, Numar persoane, 3578561
Total, Total, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 1192124
Total, Total, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 1190372
Total, Total, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 1176273
Total, Total, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 1172448
Total, Total, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 1160249
Total, Total, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 1149480
Total, Total, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 1142176
Total, Total, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 1126238
Total, Total, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 1113728
Total, Total, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 1096185
Total, Total, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 1084587
Total, Total, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 1075757
Total, Total, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 1074174
Total, Total, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 1064895
Total, Total, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 1053693
Total, Total, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 1022586
Total, Total, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 972356
Total, Total, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 948950
Total, Total, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 932004
Total, Total, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 957405
Total, Total, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 937229
Total, Total, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 931050
Total, Total, MACROREGIUNEA UNU, Anul 2017, Numar persoane, 927798
Total, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 621114
Total, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 620736
Total, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 614053
Total, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 616870
Total, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 612848
Total, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 609032
Total, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 603362
Total, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 594794
Total, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 591616
Total, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 583269
Total, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 576766
Total, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 568250
Total, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 561831
Total, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 550661
Total, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 544195
Total, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 533240
Total, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 516575
Total, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 503992
Total, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 497107
Total, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 514067
Total, Total, Regiunea NORD-VEST, Anul 2015, Numar persoane, 503343
Total, Total, Regiunea NORD-VEST, Anul 2016, Numar persoane, 499762
Total, Total, Regiunea NORD-VEST, Anul 2017, Numar persoane, 498257
Total, Total, Bihor, Anul 1995, Numar persoane, 128343
Total, Total, Bihor, Anul 1996, Numar persoane, 131037
Total, Total, Bihor, Anul 1997, Numar persoane, 129675
Total, Total, Bihor, Anul 1998, Numar persoane, 129741
Total, Total, Bihor, Anul 1999, Numar persoane, 131757
Total, Total, Bihor, Anul 2000, Numar persoane, 131582
Total, Total, Bihor, Anul 2001, Numar persoane, 129859
Total, Total, Bihor, Anul 2002, Numar persoane, 130761
Total, Total, Bihor, Anul 2003, Numar persoane, 131277
Total, Total, Bihor, Anul 2004, Numar persoane, 131408
Total, Total, Bihor, Anul 2005, Numar persoane, 130898
Total, Total, Bihor, Anul 2006, Numar persoane, 129865
Total, Total, Bihor, Anul 2007, Numar persoane, 126798
Total, Total, Bihor, Anul 2008, Numar persoane, 126342
Total, Total, Bihor, Anul 2009, Numar persoane, 123528
Total, Total, Bihor, Anul 2010, Numar persoane, 121087
Total, Total, Bihor, Anul 2011, Numar persoane, 117458
Total, Total, Bihor, Anul 2012, Numar persoane, 116646
Total, Total, Bihor, Anul 2013, Numar persoane, 113789
Total, Total, Bihor, Anul 2014, Numar persoane, 115787
Total, Total, Bihor, Anul 2015, Numar persoane, 112997
Total, Total, Bihor, Anul 2016, Numar persoane, 110532
Total, Total, Bihor, Anul 2017, Numar persoane, 109167
Total, Total, Bistrita-Nasaud, Anul 1995, Numar persoane, 68287
Total, Total, Bistrita-Nasaud, Anul 1996, Numar persoane, 68316
Total, Total, Bistrita-Nasaud, Anul 1997, Numar persoane, 67729
Total, Total, Bistrita-Nasaud, Anul 1998, Numar persoane, 67398
Total, Total, Bistrita-Nasaud, Anul 1999, Numar persoane, 66681
Total, Total, Bistrita-Nasaud, Anul 2000, Numar persoane, 66138
Total, Total, Bistrita-Nasaud, Anul 2001, Numar persoane, 64938
Total, Total, Bistrita-Nasaud, Anul 2002, Numar persoane, 63808
Total, Total, Bistrita-Nasaud, Anul 2003, Numar persoane, 63889
Total, Total, Bistrita-Nasaud, Anul 2004, Numar persoane, 62411
Total, Total, Bistrita-Nasaud, Anul 2005, Numar persoane, 60795
Total, Total, Bistrita-Nasaud, Anul 2006, Numar persoane, 59345
Total, Total, Bistrita-Nasaud, Anul 2007, Numar persoane, 58657
Total, Total, Bistrita-Nasaud, Anul 2008, Numar persoane, 58338
Total, Total, Bistrita-Nasaud, Anul 2009, Numar persoane, 58647
Total, Total, Bistrita-Nasaud, Anul 2010, Numar persoane, 57578
Total, Total, Bistrita-Nasaud, Anul 2011, Numar persoane, 56186
Total, Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 55805
Total, Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 54325
Total, Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 53692
Total, Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 50983
Total, Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 50874
Total, Total, Bistrita-Nasaud, Anul 2017, Numar persoane, 50318
Total, Total, Cluj, Anul 1995, Numar persoane, 171249
Total, Total, Cluj, Anul 1996, Numar persoane, 170390
Total, Total, Cluj, Anul 1997, Numar persoane, 168731
Total, Total, Cluj, Anul 1998, Numar persoane, 172528
Total, Total, Cluj, Anul 1999, Numar persoane, 172758
Total, Total, Cluj, Anul 2000, Numar persoane, 176052
Total, Total, Cluj, Anul 2001, Numar persoane, 176840
Total, Total, Cluj, Anul 2002, Numar persoane, 172898
Total, Total, Cluj, Anul 2003, Numar persoane, 173158
Total, Total, Cluj, Anul 2004, Numar persoane, 171345
Total, Total, Cluj, Anul 2005, Numar persoane, 171421
Total, Total, Cluj, Anul 2006, Numar persoane, 168735
Total, Total, Cluj, Anul 2007, Numar persoane, 168872
Total, Total, Cluj, Anul 2008, Numar persoane, 161238
Total, Total, Cluj, Anul 2009, Numar persoane, 160032
Total, Total, Cluj, Anul 2010, Numar persoane, 156821
Total, Total, Cluj, Anul 2011, Numar persoane, 152681
Total, Total, Cluj, Anul 2012, Numar persoane, 148870
Total, Total, Cluj, Anul 2013, Numar persoane, 147401
Total, Total, Cluj, Anul 2014, Numar persoane, 164577
Total, Total, Cluj, Anul 2015, Numar persoane, 164334
Total, Total, Cluj, Anul 2016, Numar persoane, 165580
Total, Total, Cluj, Anul 2017, Numar persoane, 167904
Total, Total, Maramures, Anul 1995, Numar persoane, 117425
Total, Total, Maramures, Anul 1996, Numar persoane, 116057
Total, Total, Maramures, Anul 1997, Numar persoane, 114954
Total, Total, Maramures, Anul 1998, Numar persoane, 114381
Total, Total, Maramures, Anul 1999, Numar persoane, 111903
Total, Total, Maramures, Anul 2000, Numar persoane, 109475
Total, Total, Maramures, Anul 2001, Numar persoane, 108169
Total, Total, Maramures, Anul 2002, Numar persoane, 105573
Total, Total, Maramures, Anul 2003, Numar persoane, 103538
Total, Total, Maramures, Anul 2004, Numar persoane, 100849
Total, Total, Maramures, Anul 2005, Numar persoane, 99369
Total, Total, Maramures, Anul 2006, Numar persoane, 98163
Total, Total, Maramures, Anul 2007, Numar persoane, 97179
Total, Total, Maramures, Anul 2008, Numar persoane, 95760
Total, Total, Maramures, Anul 2009, Numar persoane, 93637
Total, Total, Maramures, Anul 2010, Numar persoane, 91501
Total, Total, Maramures, Anul 2011, Numar persoane, 87587
Total, Total, Maramures, Anul 2012, Numar persoane, 81510
Total, Total, Maramures, Anul 2013, Numar persoane, 82865
Total, Total, Maramures, Anul 2014, Numar persoane, 82868
Total, Total, Maramures, Anul 2015, Numar persoane, 80426
Total, Total, Maramures, Anul 2016, Numar persoane, 79307
Total, Total, Maramures, Anul 2017, Numar persoane, 78529
Total, Total, Satu Mare, Anul 1995, Numar persoane, 82626
Total, Total, Satu Mare, Anul 1996, Numar persoane, 81949
Total, Total, Satu Mare, Anul 1997, Numar persoane, 80232
Total, Total, Satu Mare, Anul 1998, Numar persoane, 80158
Total, Total, Satu Mare, Anul 1999, Numar persoane, 78135
Total, Total, Satu Mare, Anul 2000, Numar persoane, 75069
Total, Total, Satu Mare, Anul 2001, Numar persoane, 73509
Total, Total, Satu Mare, Anul 2002, Numar persoane, 72348
Total, Total, Satu Mare, Anul 2003, Numar persoane, 71318
Total, Total, Satu Mare, Anul 2004, Numar persoane, 70096
Total, Total, Satu Mare, Anul 2005, Numar persoane, 68586
Total, Total, Satu Mare, Anul 2006, Numar persoane, 67273
Total, Total, Satu Mare, Anul 2007, Numar persoane, 66435
Total, Total, Satu Mare, Anul 2008, Numar persoane, 66004
Total, Total, Satu Mare, Anul 2009, Numar persoane, 65666
Total, Total, Satu Mare, Anul 2010, Numar persoane, 64087
Total, Total, Satu Mare, Anul 2011, Numar persoane, 61611
Total, Total, Satu Mare, Anul 2012, Numar persoane, 60635
Total, Total, Satu Mare, Anul 2013, Numar persoane, 59109
Total, Total, Satu Mare, Anul 2014, Numar persoane, 58293
Total, Total, Satu Mare, Anul 2015, Numar persoane, 56628
Total, Total, Satu Mare, Anul 2016, Numar persoane, 55828
Total, Total, Satu Mare, Anul 2017, Numar persoane, 55223
Total, Total, Salaj, Anul 1995, Numar persoane, 53184
Total, Total, Salaj, Anul 1996, Numar persoane, 52987
Total, Total, Salaj, Anul 1997, Numar persoane, 52732
Total, Total, Salaj, Anul 1998, Numar persoane, 52664
Total, Total, Salaj, Anul 1999, Numar persoane, 51614
Total, Total, Salaj, Anul 2000, Numar persoane, 50716
Total, Total, Salaj, Anul 2001, Numar persoane, 50047
Total, Total, Salaj, Anul 2002, Numar persoane, 49406
Total, Total, Salaj, Anul 2003, Numar persoane, 48436
Total, Total, Salaj, Anul 2004, Numar persoane, 47160
Total, Total, Salaj, Anul 2005, Numar persoane, 45697
Total, Total, Salaj, Anul 2006, Numar persoane, 44869
Total, Total, Salaj, Anul 2007, Numar persoane, 43890
Total, Total, Salaj, Anul 2008, Numar persoane, 42979
Total, Total, Salaj, Anul 2009, Numar persoane, 42685
Total, Total, Salaj, Anul 2010, Numar persoane, 42166
Total, Total, Salaj, Anul 2011, Numar persoane, 41052
Total, Total, Salaj, Anul 2012, Numar persoane, 40526
Total, Total, Salaj, Anul 2013, Numar persoane, 39618
Total, Total, Salaj, Anul 2014, Numar persoane, 38850
Total, Total, Salaj, Anul 2015, Numar persoane, 37975
Total, Total, Salaj, Anul 2016, Numar persoane, 37641
Total, Total, Salaj, Anul 2017, Numar persoane, 37116
Total, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 571010
Total, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 569636
Total, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 562220
Total, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 555578
Total, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 547401
Total, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 540448
Total, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 538814
Total, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 531444
Total, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 522112
Total, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 512916
Total, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 507821
Total, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 507507
Total, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 512343
Total, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 514234
Total, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 509498
Total, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 489346
Total, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 455781
Total, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 444958
Total, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 434897
Total, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 443338
Total, Total, Regiunea CENTRU, Anul 2015, Numar persoane, 433886
Total, Total, Regiunea CENTRU, Anul 2016, Numar persoane, 431288
Total, Total, Regiunea CENTRU, Anul 2017, Numar persoane, 429541
Total, Total, Alba, Anul 1995, Numar persoane, 83728
Total, Total, Alba, Anul 1996, Numar persoane, 84231
Total, Total, Alba, Anul 1997, Numar persoane, 83366
Total, Total, Alba, Anul 1998, Numar persoane, 83498
Total, Total, Alba, Anul 1999, Numar persoane, 82233
Total, Total, Alba, Anul 2000, Numar persoane, 81996
Total, Total, Alba, Anul 2001, Numar persoane, 80601
Total, Total, Alba, Anul 2002, Numar persoane, 77924
Total, Total, Alba, Anul 2003, Numar persoane, 75653
Total, Total, Alba, Anul 2004, Numar persoane, 73299
Total, Total, Alba, Anul 2005, Numar persoane, 71219
Total, Total, Alba, Anul 2006, Numar persoane, 69041
Total, Total, Alba, Anul 2007, Numar persoane, 67071
Total, Total, Alba, Anul 2008, Numar persoane, 65419
Total, Total, Alba, Anul 2009, Numar persoane, 66658
Total, Total, Alba, Anul 2010, Numar persoane, 64366
Total, Total, Alba, Anul 2011, Numar persoane, 61925
Total, Total, Alba, Anul 2012, Numar persoane, 60662
Total, Total, Alba, Anul 2013, Numar persoane, 59584
Total, Total, Alba, Anul 2014, Numar persoane, 59279
Total, Total, Alba, Anul 2015, Numar persoane, 58001
Total, Total, Alba, Anul 2016, Numar persoane, 57399
Total, Total, Alba, Anul 2017, Numar persoane, 56964
Total, Total, Brasov, Anul 1995, Numar persoane, 147705
Total, Total, Brasov, Anul 1996, Numar persoane, 146303
Total, Total, Brasov, Anul 1997, Numar persoane, 143478
Total, Total, Brasov, Anul 1998, Numar persoane, 140336
Total, Total, Brasov, Anul 1999, Numar persoane, 139152
Total, Total, Brasov, Anul 2000, Numar persoane, 134728
Total, Total, Brasov, Anul 2001, Numar persoane, 131080
Total, Total, Brasov, Anul 2002, Numar persoane, 127214
Total, Total, Brasov, Anul 2003, Numar persoane, 124582
Total, Total, Brasov, Anul 2004, Numar persoane, 122681
Total, Total, Brasov, Anul 2005, Numar persoane, 123786
Total, Total, Brasov, Anul 2006, Numar persoane, 126607
Total, Total, Brasov, Anul 2007, Numar persoane, 136395
Total, Total, Brasov, Anul 2008, Numar persoane, 145691
Total, Total, Brasov, Anul 2009, Numar persoane, 144043
Total, Total, Brasov, Anul 2010, Numar persoane, 130121
Total, Total, Brasov, Anul 2011, Numar persoane, 108967
Total, Total, Brasov, Anul 2012, Numar persoane, 103068
Total, Total, Brasov, Anul 2013, Numar persoane, 101509
Total, Total, Brasov, Anul 2014, Numar persoane, 106526
Total, Total, Brasov, Anul 2015, Numar persoane, 105866
Total, Total, Brasov, Anul 2016, Numar persoane, 106043
Total, Total, Brasov, Anul 2017, Numar persoane, 107212
Total, Total, Covasna, Anul 1995, Numar persoane, 48740
Total, Total, Covasna, Anul 1996, Numar persoane, 48080
Total, Total, Covasna, Anul 1997, Numar persoane, 47368
Total, Total, Covasna, Anul 1998, Numar persoane, 46811
Total, Total, Covasna, Anul 1999, Numar persoane, 46016
Total, Total, Covasna, Anul 2000, Numar persoane, 44334
Total, Total, Covasna, Anul 2001, Numar persoane, 44088
Total, Total, Covasna, Anul 2002, Numar persoane, 42932
Total, Total, Covasna, Anul 2003, Numar persoane, 42090
Total, Total, Covasna, Anul 2004, Numar persoane, 41388
Total, Total, Covasna, Anul 2005, Numar persoane, 40749
Total, Total, Covasna, Anul 2006, Numar persoane, 40259
Total, Total, Covasna, Anul 2007, Numar persoane, 40018
Total, Total, Covasna, Anul 2008, Numar persoane, 39735
Total, Total, Covasna, Anul 2009, Numar persoane, 38598
Total, Total, Covasna, Anul 2010, Numar persoane, 39075
Total, Total, Covasna, Anul 2011, Numar persoane, 38304
Total, Total, Covasna, Anul 2012, Numar persoane, 37655
Total, Total, Covasna, Anul 2013, Numar persoane, 36737
Total, Total, Covasna, Anul 2014, Numar persoane, 35813
Total, Total, Covasna, Anul 2015, Numar persoane, 34804
Total, Total, Covasna, Anul 2016, Numar persoane, 34339
Total, Total, Covasna, Anul 2017, Numar persoane, 33711
Total, Total, Harghita, Anul 1995, Numar persoane, 69721
Total, Total, Harghita, Anul 1996, Numar persoane, 69416
Total, Total, Harghita, Anul 1997, Numar persoane, 68193
Total, Total, Harghita, Anul 1998, Numar persoane, 66732
Total, Total, Harghita, Anul 1999, Numar persoane, 66151
Total, Total, Harghita, Anul 2000, Numar persoane, 65113
Total, Total, Harghita, Anul 2001, Numar persoane, 64917
Total, Total, Harghita, Anul 2002, Numar persoane, 63968
Total, Total, Harghita, Anul 2003, Numar persoane, 63672
Total, Total, Harghita, Anul 2004, Numar persoane, 63169
Total, Total, Harghita, Anul 2005, Numar persoane, 62488
Total, Total, Harghita, Anul 2006, Numar persoane, 61465
Total, Total, Harghita, Anul 2007, Numar persoane, 60930
Total, Total, Harghita, Anul 2008, Numar persoane, 59378
Total, Total, Harghita, Anul 2009, Numar persoane, 57931
Total, Total, Harghita, Anul 2010, Numar persoane, 57562
