Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Ilfov, Anul 2002, Numar persoane, 40931
Total, Total, Ilfov, Anul 2003, Numar persoane, 40975
Total, Total, Ilfov, Anul 2004, Numar persoane, 40760
Total, Total, Ilfov, Anul 2005, Numar persoane, 40121
Total, Total, Ilfov, Anul 2006, Numar persoane, 39703
Total, Total, Ilfov, Anul 2007, Numar persoane, 40129
Total, Total, Ilfov, Anul 2008, Numar persoane, 41462
Total, Total, Ilfov, Anul 2009, Numar persoane, 41636
Total, Total, Ilfov, Anul 2010, Numar persoane, 42548
Total, Total, Ilfov, Anul 2011, Numar persoane, 43138
Total, Total, Ilfov, Anul 2012, Numar persoane, 45060
Total, Total, Ilfov, Anul 2013, Numar persoane, 47581
Total, Total, Ilfov, Anul 2014, Numar persoane, 48934
Total, Total, Ilfov, Anul 2015, Numar persoane, 48103
Total, Total, Ilfov, Anul 2016, Numar persoane, 49317
Total, Total, Ilfov, Anul 2017, Numar persoane, 50465
Total, Total, Municipiul Bucuresti, Anul 1996, Numar persoane, 509956
Total, Total, Municipiul Bucuresti, Anul 1997, Numar persoane, 502841
Total, Total, Municipiul Bucuresti, Anul 1998, Numar persoane, 499004
Total, Total, Municipiul Bucuresti, Anul 1999, Numar persoane, 486889
Total, Total, Municipiul Bucuresti, Anul 2000, Numar persoane, 488832
Total, Total, Municipiul Bucuresti, Anul 2001, Numar persoane, 489790
Total, Total, Municipiul Bucuresti, Anul 2002, Numar persoane, 481992
Total, Total, Municipiul Bucuresti, Anul 2003, Numar persoane, 486210
Total, Total, Municipiul Bucuresti, Anul 2004, Numar persoane, 493929
Total, Total, Municipiul Bucuresti, Anul 2005, Numar persoane, 523125
Total, Total, Municipiul Bucuresti, Anul 2006, Numar persoane, 567454
Total, Total, Municipiul Bucuresti, Anul 2007, Numar persoane, 649642
Total, Total, Municipiul Bucuresti, Anul 2008, Numar persoane, 642174
Total, Total, Municipiul Bucuresti, Anul 2009, Numar persoane, 537442
Total, Total, Municipiul Bucuresti, Anul 2010, Numar persoane, 475206
Total, Total, Municipiul Bucuresti, Anul 2011, Numar persoane, 420561
Total, Total, Municipiul Bucuresti, Anul 2012, Numar persoane, 399718
Total, Total, Municipiul Bucuresti, Anul 2013, Numar persoane, 390384
Total, Total, Municipiul Bucuresti, Anul 2014, Numar persoane, 437330
Total, Total, Municipiul Bucuresti, Anul 2015, Numar persoane, 436685
Total, Total, Municipiul Bucuresti, Anul 2016, Numar persoane, 442359
Total, Total, Municipiul Bucuresti, Anul 2017, Numar persoane, 456326
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1995, Numar persoane, 561994
Total, Total, MACROREGIUNEA PATRU, Anul 1995, Numar persoane, 894485
Total, Total, MACROREGIUNEA PATRU, Anul 1996, Numar persoane, 899080
Total, Total, MACROREGIUNEA PATRU, Anul 1997, Numar persoane, 896107
Total, Total, MACROREGIUNEA PATRU, Anul 1998, Numar persoane, 895353
Total, Total, MACROREGIUNEA PATRU, Anul 1999, Numar persoane, 887250
Total, Total, MACROREGIUNEA PATRU, Anul 2000, Numar persoane, 887681
Total, Total, MACROREGIUNEA PATRU, Anul 2001, Numar persoane, 889282
Total, Total, MACROREGIUNEA PATRU, Anul 2002, Numar persoane, 881462
Total, Total, MACROREGIUNEA PATRU, Anul 2003, Numar persoane, 873110
Total, Total, MACROREGIUNEA PATRU, Anul 2004, Numar persoane, 856865
Total, Total, MACROREGIUNEA PATRU, Anul 2005, Numar persoane, 842398
Total, Total, MACROREGIUNEA PATRU, Anul 2006, Numar persoane, 833009
Total, Total, MACROREGIUNEA PATRU, Anul 2007, Numar persoane, 828946
Total, Total, MACROREGIUNEA PATRU, Anul 2008, Numar persoane, 807395
Total, Total, MACROREGIUNEA PATRU, Anul 2009, Numar persoane, 791905
Total, Total, MACROREGIUNEA PATRU, Anul 2010, Numar persoane, 772135
Total, Total, MACROREGIUNEA PATRU, Anul 2011, Numar persoane, 729265
Total, Total, MACROREGIUNEA PATRU, Anul 2012, Numar persoane, 709293
Total, Total, MACROREGIUNEA PATRU, Anul 2013, Numar persoane, 689508
Total, Total, MACROREGIUNEA PATRU, Anul 2014, Numar persoane, 692272
Total, Total, MACROREGIUNEA PATRU, Anul 2015, Numar persoane, 667803
Total, Total, MACROREGIUNEA PATRU, Anul 2016, Numar persoane, 651251
Total, Total, MACROREGIUNEA PATRU, Anul 2017, Numar persoane, 643589
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 476193
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 478181
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 473088
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 471370
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 465972
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 468564
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 471911
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 465949
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 461816
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 452674
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 444295
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 436623
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 434072
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 424471
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 417732
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 402670
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 381465
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 371148
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 361387
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 358756
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar persoane, 343578
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar persoane, 335538
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Numar persoane, 329735
Total, Total, Dolj, Anul 1995, Numar persoane, 150464
Total, Total, Dolj, Anul 1996, Numar persoane, 151585
Total, Total, Dolj, Anul 1997, Numar persoane, 151075
Total, Total, Dolj, Anul 1998, Numar persoane, 151103
Total, Total, Dolj, Anul 1999, Numar persoane, 150931
Total, Total, Dolj, Anul 2000, Numar persoane, 152742
Total, Total, Dolj, Anul 2001, Numar persoane, 154299
Total, Total, Dolj, Anul 2002, Numar persoane, 152429
Total, Total, Dolj, Anul 2003, Numar persoane, 151949
Total, Total, Dolj, Anul 2004, Numar persoane, 149611
Total, Total, Dolj, Anul 2005, Numar persoane, 148606
Total, Total, Dolj, Anul 2006, Numar persoane, 147728
Total, Total, Dolj, Anul 2007, Numar persoane, 150241
Total, Total, Dolj, Anul 2008, Numar persoane, 147556
Total, Total, Dolj, Anul 2009, Numar persoane, 144325
Total, Total, Dolj, Anul 2010, Numar persoane, 136748
Total, Total, Dolj, Anul 2011, Numar persoane, 126783
Total, Total, Dolj, Anul 2012, Numar persoane, 123062
Total, Total, Dolj, Anul 2013, Numar persoane, 120155
Total, Total, Dolj, Anul 2014, Numar persoane, 122989
Total, Total, Dolj, Anul 2015, Numar persoane, 119108
Total, Total, Dolj, Anul 2016, Numar persoane, 117554
Total, Total, Dolj, Anul 2017, Numar persoane, 116851
Total, Total, Gorj, Anul 1995, Numar persoane, 85013
Total, Total, Gorj, Anul 1996, Numar persoane, 86166
Total, Total, Gorj, Anul 1997, Numar persoane, 84415
Total, Total, Gorj, Anul 1998, Numar persoane, 83227
Total, Total, Gorj, Anul 1999, Numar persoane, 82671
Total, Total, Gorj, Anul 2000, Numar persoane, 84837
Total, Total, Gorj, Anul 2001, Numar persoane, 86710
Total, Total, Gorj, Anul 2002, Numar persoane, 85651
Total, Total, Gorj, Anul 2003, Numar persoane, 85030
Total, Total, Gorj, Anul 2004, Numar persoane, 83821
Total, Total, Gorj, Anul 2005, Numar persoane, 82872
Total, Total, Gorj, Anul 2006, Numar persoane, 81282
Total, Total, Gorj, Anul 2007, Numar persoane, 81101
Total, Total, Gorj, Anul 2008, Numar persoane, 78816
Total, Total, Gorj, Anul 2009, Numar persoane, 76960
Total, Total, Gorj, Anul 2010, Numar persoane, 74595
Total, Total, Gorj, Anul 2011, Numar persoane, 71358
Total, Total, Gorj, Anul 2012, Numar persoane, 68792
Total, Total, Gorj, Anul 2013, Numar persoane, 66728
Total, Total, Gorj, Anul 2014, Numar persoane, 64481
Total, Total, Gorj, Anul 2015, Numar persoane, 61182
Total, Total, Gorj, Anul 2016, Numar persoane, 58726
Total, Total, Gorj, Anul 2017, Numar persoane, 56874
Total, Total, Mehedinti, Anul 1995, Numar persoane, 58741
Total, Total, Mehedinti, Anul 1996, Numar persoane, 59030
Total, Total, Mehedinti, Anul 1997, Numar persoane, 59301
Total, Total, Mehedinti, Anul 1998, Numar persoane, 59329
Total, Total, Mehedinti, Anul 1999, Numar persoane, 58480
Total, Total, Mehedinti, Anul 2000, Numar persoane, 59141
Total, Total, Mehedinti, Anul 2001, Numar persoane, 59708
Total, Total, Mehedinti, Anul 2002, Numar persoane, 59470
Total, Total, Mehedinti, Anul 2003, Numar persoane, 58230
Total, Total, Mehedinti, Anul 2004, Numar persoane, 56474
Total, Total, Mehedinti, Anul 2005, Numar persoane, 55597
Total, Total, Mehedinti, Anul 2006, Numar persoane, 54477
Total, Total, Mehedinti, Anul 2007, Numar persoane, 53314
Total, Total, Mehedinti, Anul 2008, Numar persoane, 52050
Total, Total, Mehedinti, Anul 2009, Numar persoane, 50675
Total, Total, Mehedinti, Anul 2010, Numar persoane, 49171
Total, Total, Mehedinti, Anul 2011, Numar persoane, 46812
Total, Total, Mehedinti, Anul 2012, Numar persoane, 46057
Total, Total, Mehedinti, Anul 2013, Numar persoane, 44224
Total, Total, Mehedinti, Anul 2014, Numar persoane, 43552
Total, Total, Mehedinti, Anul 2015, Numar persoane, 40905
Total, Total, Mehedinti, Anul 2016, Numar persoane, 40206
Total, Total, Mehedinti, Anul 2017, Numar persoane, 39343
Total, Total, Olt, Anul 1995, Numar persoane, 95867
Total, Total, Olt, Anul 1996, Numar persoane, 96996
Total, Total, Olt, Anul 1997, Numar persoane, 96239
Total, Total, Olt, Anul 1998, Numar persoane, 95301
Total, Total, Olt, Anul 1999, Numar persoane, 93243
Total, Total, Olt, Anul 2000, Numar persoane, 91460
Total, Total, Olt, Anul 2001, Numar persoane, 89645
Total, Total, Olt, Anul 2002, Numar persoane, 88316
Total, Total, Olt, Anul 2003, Numar persoane, 87922
Total, Total, Olt, Anul 2004, Numar persoane, 85738
Total, Total, Olt, Anul 2005, Numar persoane, 82809
Total, Total, Olt, Anul 2006, Numar persoane, 79924
Total, Total, Olt, Anul 2007, Numar persoane, 78303
Total, Total, Olt, Anul 2008, Numar persoane, 75988
Total, Total, Olt, Anul 2009, Numar persoane, 74625
Total, Total, Olt, Anul 2010, Numar persoane, 73991
Total, Total, Olt, Anul 2011, Numar persoane, 72638
Total, Total, Olt, Anul 2012, Numar persoane, 71669
Total, Total, Olt, Anul 2013, Numar persoane, 68989
Total, Total, Olt, Anul 2014, Numar persoane, 68048
Total, Total, Olt, Anul 2015, Numar persoane, 65478
Total, Total, Olt, Anul 2016, Numar persoane, 63521
Total, Total, Olt, Anul 2017, Numar persoane, 62176
Total, Total, Valcea, Anul 1995, Numar persoane, 86108
Total, Total, Valcea, Anul 1996, Numar persoane, 84404
Total, Total, Valcea, Anul 1997, Numar persoane, 82058
Total, Total, Valcea, Anul 1998, Numar persoane, 82410
Total, Total, Valcea, Anul 1999, Numar persoane, 80647
Total, Total, Valcea, Anul 2000, Numar persoane, 80384
Total, Total, Valcea, Anul 2001, Numar persoane, 81549
Total, Total, Valcea, Anul 2002, Numar persoane, 80083
Total, Total, Valcea, Anul 2003, Numar persoane, 78685
Total, Total, Valcea, Anul 2004, Numar persoane, 77030
Total, Total, Valcea, Anul 2005, Numar persoane, 74411
Total, Total, Valcea, Anul 2006, Numar persoane, 73212
Total, Total, Valcea, Anul 2007, Numar persoane, 71113
Total, Total, Valcea, Anul 2008, Numar persoane, 70061
Total, Total, Valcea, Anul 2009, Numar persoane, 71147
Total, Total, Valcea, Anul 2010, Numar persoane, 68165
Total, Total, Valcea, Anul 2011, Numar persoane, 63874
Total, Total, Valcea, Anul 2012, Numar persoane, 61568
Total, Total, Valcea, Anul 2013, Numar persoane, 61291
Total, Total, Valcea, Anul 2014, Numar persoane, 59686
Total, Total, Valcea, Anul 2015, Numar persoane, 56905
Total, Total, Valcea, Anul 2016, Numar persoane, 55531
Total, Total, Valcea, Anul 2017, Numar persoane, 54491
Total, Total, Regiunea VEST, Anul 1995, Numar persoane, 418292
Total, Total, Regiunea VEST, Anul 1996, Numar persoane, 420899
Total, Total, Regiunea VEST, Anul 1997, Numar persoane, 423019
Total, Total, Regiunea VEST, Anul 1998, Numar persoane, 423983
Total, Total, Regiunea VEST, Anul 1999, Numar persoane, 421278
Total, Total, Regiunea VEST, Anul 2000, Numar persoane, 419117
Total, Total, Regiunea VEST, Anul 2001, Numar persoane, 417371
Total, Total, Regiunea VEST, Anul 2002, Numar persoane, 415513
Total, Total, Regiunea VEST, Anul 2003, Numar persoane, 411294
Total, Total, Regiunea VEST, Anul 2004, Numar persoane, 404191
Total, Total, Regiunea VEST, Anul 2005, Numar persoane, 398103
Total, Total, Regiunea VEST, Anul 2006, Numar persoane, 396386
Total, Total, Regiunea VEST, Anul 2007, Numar persoane, 394874
Total, Total, Regiunea VEST, Anul 2008, Numar persoane, 382924
Total, Total, Regiunea VEST, Anul 2009, Numar persoane, 374173
Total, Total, Regiunea VEST, Anul 2010, Numar persoane, 369465
Total, Total, Regiunea VEST, Anul 2011, Numar persoane, 347800
Total, Total, Regiunea VEST, Anul 2012, Numar persoane, 338145
Total, Total, Regiunea VEST, Anul 2013, Numar persoane, 328121
Total, Total, Regiunea VEST, Anul 2014, Numar persoane, 333516
Total, Total, Regiunea VEST, Anul 2015, Numar persoane, 324225
Total, Total, Regiunea VEST, Anul 2016, Numar persoane, 315713
Total, Total, Regiunea VEST, Anul 2017, Numar persoane, 313854
Total, Total, Arad, Anul 1995, Numar persoane, 87850
Total, Total, Arad, Anul 1996, Numar persoane, 89044
Total, Total, Arad, Anul 1997, Numar persoane, 90338
Total, Total, Arad, Anul 1998, Numar persoane, 90169
Total, Total, Arad, Anul 1999, Numar persoane, 88761
Total, Total, Arad, Anul 2000, Numar persoane, 88394
Total, Total, Arad, Anul 2001, Numar persoane, 87821
Total, Total, Arad, Anul 2002, Numar persoane, 91538
Total, Total, Arad, Anul 2003, Numar persoane, 91686
Total, Total, Arad, Anul 2004, Numar persoane, 92042
Total, Total, Arad, Anul 2005, Numar persoane, 91550
Total, Total, Arad, Anul 2006, Numar persoane, 94812
Total, Total, Arad, Anul 2007, Numar persoane, 95055
Total, Total, Arad, Anul 2008, Numar persoane, 91200
Total, Total, Arad, Anul 2009, Numar persoane, 90800
Total, Total, Arad, Anul 2010, Numar persoane, 94086
Total, Total, Arad, Anul 2011, Numar persoane, 86435
Total, Total, Arad, Anul 2012, Numar persoane, 84478
Total, Total, Arad, Anul 2013, Numar persoane, 79515
Total, Total, Arad, Anul 2014, Numar persoane, 77880
Total, Total, Arad, Anul 2015, Numar persoane, 75391
Total, Total, Arad, Anul 2016, Numar persoane, 72649
Total, Total, Arad, Anul 2017, Numar persoane, 71808
Total, Total, Caras-Severin, Anul 1995, Numar persoane, 69314
Total, Total, Caras-Severin, Anul 1996, Numar persoane, 70444
Total, Total, Caras-Severin, Anul 1997, Numar persoane, 70195
Total, Total, Caras-Severin, Anul 1998, Numar persoane, 69999
Total, Total, Caras-Severin, Anul 1999, Numar persoane, 68985
Total, Total, Caras-Severin, Anul 2000, Numar persoane, 67046
Total, Total, Caras-Severin, Anul 2001, Numar persoane, 65611
Total, Total, Caras-Severin, Anul 2002, Numar persoane, 63718
Total, Total, Caras-Severin, Anul 2003, Numar persoane, 61990
Total, Total, Caras-Severin, Anul 2004, Numar persoane, 59998
Total, Total, Caras-Severin, Anul 2005, Numar persoane, 58536
Total, Total, Caras-Severin, Anul 2006, Numar persoane, 57321
Total, Total, Caras-Severin, Anul 2007, Numar persoane, 56539
Total, Total, Caras-Severin, Anul 2008, Numar persoane, 55402
Total, Total, Caras-Severin, Anul 2009, Numar persoane, 54334
Total, Total, Caras-Severin, Anul 2010, Numar persoane, 52949
Total, Total, Caras-Severin, Anul 2011, Numar persoane, 50062
Total, Total, Caras-Severin, Anul 2012, Numar persoane, 47864
Total, Total, Caras-Severin, Anul 2013, Numar persoane, 46570
Total, Total, Caras-Severin, Anul 2014, Numar persoane, 46127
Total, Total, Caras-Severin, Anul 2015, Numar persoane, 44119
Total, Total, Caras-Severin, Anul 2016, Numar persoane, 41916
Total, Total, Caras-Severin, Anul 2017, Numar persoane, 40868
Total, Total, Hunedoara, Anul 1995, Numar persoane, 105477
Total, Total, Hunedoara, Anul 1996, Numar persoane, 104755
Total, Total, Hunedoara, Anul 1997, Numar persoane, 102914
Total, Total, Hunedoara, Anul 1998, Numar persoane, 101400
Total, Total, Hunedoara, Anul 1999, Numar persoane, 100254
Total, Total, Hunedoara, Anul 2000, Numar persoane, 98619
Total, Total, Hunedoara, Anul 2001, Numar persoane, 99578
Total, Total, Hunedoara, Anul 2002, Numar persoane, 97529
Total, Total, Hunedoara, Anul 2003, Numar persoane, 95661
Total, Total, Hunedoara, Anul 2004, Numar persoane, 91754
Total, Total, Hunedoara, Anul 2005, Numar persoane, 89659
Total, Total, Hunedoara, Anul 2006, Numar persoane, 85415
Total, Total, Hunedoara, Anul 2007, Numar persoane, 83760
Total, Total, Hunedoara, Anul 2008, Numar persoane, 81732
Total, Total, Hunedoara, Anul 2009, Numar persoane, 79714
Total, Total, Hunedoara, Anul 2010, Numar persoane, 78899
Total, Total, Hunedoara, Anul 2011, Numar persoane, 73898
Total, Total, Hunedoara, Anul 2012, Numar persoane, 71697
Total, Total, Hunedoara, Anul 2013, Numar persoane, 69749
Total, Total, Hunedoara, Anul 2014, Numar persoane, 69078
Total, Total, Hunedoara, Anul 2015, Numar persoane, 66495
Total, Total, Hunedoara, Anul 2016, Numar persoane, 63430
Total, Total, Hunedoara, Anul 2017, Numar persoane, 62070
Total, Total, Timis, Anul 1995, Numar persoane, 155651
Total, Total, Timis, Anul 1996, Numar persoane, 156656
Total, Total, Timis, Anul 1997, Numar persoane, 159572
Total, Total, Timis, Anul 1998, Numar persoane, 162415
Total, Total, Timis, Anul 1999, Numar persoane, 163278
Total, Total, Timis, Anul 2000, Numar persoane, 165058
Total, Total, Timis, Anul 2001, Numar persoane, 164361
Total, Total, Timis, Anul 2002, Numar persoane, 162728
Total, Total, Timis, Anul 2003, Numar persoane, 161957
Total, Total, Timis, Anul 2004, Numar persoane, 160397
Total, Total, Timis, Anul 2005, Numar persoane, 158358
Total, Total, Timis, Anul 2006, Numar persoane, 158838
Total, Total, Timis, Anul 2007, Numar persoane, 159520
Total, Total, Timis, Anul 2008, Numar persoane, 154590
Total, Total, Timis, Anul 2009, Numar persoane, 149325
Total, Total, Timis, Anul 2010, Numar persoane, 143531
Total, Total, Timis, Anul 2011, Numar persoane, 137405
Total, Total, Timis, Anul 2012, Numar persoane, 134106
Total, Total, Timis, Anul 2013, Numar persoane, 132287
Total, Total, Timis, Anul 2014, Numar persoane, 140431
Total, Total, Timis, Anul 2015, Numar persoane, 138220
Total, Total, Timis, Anul 2016, Numar persoane, 137718
Total, Total, Timis, Anul 2017, Numar persoane, 139108
