Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Total, Total, Ilfov, Anul 2000, Ani, 70.14
Total, Total, Ilfov, Anul 2001, Ani, 71
Total, Total, Ilfov, Anul 2002, Ani, 70.89
Total, Total, Ilfov, Anul 2003, Ani, 70.87
Total, Total, Ilfov, Anul 2004, Ani, 71.22
Total, Total, Ilfov, Anul 2005, Ani, 71.89
Total, Total, Ilfov, Anul 2006, Ani, 72.34
Total, Total, Ilfov, Anul 2007, Ani, 72.45
Total, Total, Ilfov, Anul 2008, Ani, 72.69
Total, Total, Ilfov, Anul 2009, Ani, 73.05
Total, Total, Ilfov, Anul 2010, Ani, 73.44
Total, Total, Ilfov, Anul 2011, Ani, 73.83
Total, Total, Ilfov, Anul 2012, Ani, 74.46
Total, Total, Ilfov, Anul 2013, Ani, 74.84
Total, Total, Ilfov, Anul 2014, Ani, 75.03
Total, Total, Ilfov, Anul 2015, Ani, 75.4
Total, Total, Ilfov, Anul 2016, Ani, 75.76
Total, Total, Ilfov, Anul 2017, Ani, 75.78
Total, Total, Municipiul Bucuresti, Anul 1990, Ani, 70.4
Total, Total, Municipiul Bucuresti, Anul 1991, Ani, 71.02
Total, Total, Municipiul Bucuresti, Anul 1992, Ani, 71.34
Total, Total, Municipiul Bucuresti, Anul 1993, Ani, 70.69
Total, Total, Municipiul Bucuresti, Anul 1994, Ani, 70.58
Total, Total, Municipiul Bucuresti, Anul 1995, Ani, 70.6
Total, Total, Municipiul Bucuresti, Anul 1996, Ani, 70.82
Total, Total, Municipiul Bucuresti, Anul 1997, Ani, 70.75
Total, Total, Municipiul Bucuresti, Anul 1998, Ani, 71.17
Total, Total, Municipiul Bucuresti, Anul 1999, Ani, 71.9
Total, Total, Municipiul Bucuresti, Anul 2000, Ani, 72.51
Total, Total, Municipiul Bucuresti, Anul 2001, Ani, 73.12
Total, Total, Municipiul Bucuresti, Anul 2002, Ani, 73.43
Total, Total, Municipiul Bucuresti, Anul 2003, Ani, 73.37
Total, Total, Municipiul Bucuresti, Anul 2004, Ani, 73.89
Total, Total, Municipiul Bucuresti, Anul 2005, Ani, 74.14
Total, Total, Municipiul Bucuresti, Anul 2006, Ani, 74.23
Total, Total, Municipiul Bucuresti, Anul 2007, Ani, 74.41
Total, Total, Municipiul Bucuresti, Anul 2008, Ani, 75.95
Total, Total, Municipiul Bucuresti, Anul 2009, Ani, 76.48
Total, Total, Municipiul Bucuresti, Anul 2010, Ani, 76.89
Total, Total, Municipiul Bucuresti, Anul 2011, Ani, 77.03
Total, Total, Municipiul Bucuresti, Anul 2012, Ani, 77.25
Total, Total, Municipiul Bucuresti, Anul 2013, Ani, 77.54
Total, Total, Municipiul Bucuresti, Anul 2014, Ani, 77.83
Total, Total, Municipiul Bucuresti, Anul 2015, Ani, 77.77
Total, Total, Municipiul Bucuresti, Anul 2016, Ani, 77.72
Total, Total, Municipiul Bucuresti, Anul 2017, Ani, 77.89
Total, Total, MACROREGIUNEA PATRU, Anul 2000, Ani, 70.4
Total, Total, MACROREGIUNEA PATRU, Anul 2005, Ani, 71.34
Total, Total, MACROREGIUNEA PATRU, Anul 2006, Ani, 71.75
Total, Total, MACROREGIUNEA PATRU, Anul 2007, Ani, 72.22
Total, Total, MACROREGIUNEA PATRU, Anul 2008, Ani, 73
Total, Total, MACROREGIUNEA PATRU, Anul 2009, Ani, 73.36
Total, Total, MACROREGIUNEA PATRU, Anul 2010, Ani, 73.49
Total, Total, MACROREGIUNEA PATRU, Anul 2011, Ani, 73.82
Total, Total, MACROREGIUNEA PATRU, Anul 2012, Ani, 74.39
Total, Total, MACROREGIUNEA PATRU, Anul 2013, Ani, 74.96
Total, Total, MACROREGIUNEA PATRU, Anul 2014, Ani, 75.22
Total, Total, MACROREGIUNEA PATRU, Anul 2015, Ani, 74.99
Total, Total, MACROREGIUNEA PATRU, Anul 2016, Ani, 75.32
Total, Total, MACROREGIUNEA PATRU, Anul 2017, Ani, 75.61
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1990, Ani, 69.33
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Ani, 69.65
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Ani, 69.89
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Ani, 70.08
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Ani, 70.14
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Ani, 69.9
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Ani, 69.43
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Ani, 69.13
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Ani, 69.18
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Ani, 69.64
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Ani, 70.61
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Ani, 71.44
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Ani, 71.39
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Ani, 71.1
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Ani, 71.39
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Ani, 71.62
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Ani, 72
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Ani, 72.49
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Ani, 72.88
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Ani, 73.13
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Ani, 73.27
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Ani, 73.68
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Ani, 74.32
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Ani, 74.9
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Ani, 75.13
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Ani, 74.93
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Ani, 75.36
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Ani, 75.67
Total, Total, Dolj, Anul 1990, Ani, 69.08
Total, Total, Dolj, Anul 1991, Ani, 69.45
Total, Total, Dolj, Anul 1992, Ani, 69.84
Total, Total, Dolj, Anul 1993, Ani, 69.58
Total, Total, Dolj, Anul 1994, Ani, 69.64
Total, Total, Dolj, Anul 1995, Ani, 69.6
Total, Total, Dolj, Anul 1996, Ani, 68.87
Total, Total, Dolj, Anul 1997, Ani, 68.5
Total, Total, Dolj, Anul 1998, Ani, 68.89
Total, Total, Dolj, Anul 1999, Ani, 69.33
Total, Total, Dolj, Anul 2000, Ani, 70.2
Total, Total, Dolj, Anul 2001, Ani, 71.05
Total, Total, Dolj, Anul 2002, Ani, 70.98
Total, Total, Dolj, Anul 2003, Ani, 70.73
Total, Total, Dolj, Anul 2004, Ani, 70.86
Total, Total, Dolj, Anul 2005, Ani, 71.22
Total, Total, Dolj, Anul 2006, Ani, 71.72
Total, Total, Dolj, Anul 2007, Ani, 72.18
Total, Total, Dolj, Anul 2008, Ani, 72.72
Total, Total, Dolj, Anul 2009, Ani, 72.95
Total, Total, Dolj, Anul 2010, Ani, 73.04
Total, Total, Dolj, Anul 2011, Ani, 73.5
Total, Total, Dolj, Anul 2012, Ani, 74
Total, Total, Dolj, Anul 2013, Ani, 74.39
Total, Total, Dolj, Anul 2014, Ani, 74.76
Total, Total, Dolj, Anul 2015, Ani, 74.47
Total, Total, Dolj, Anul 2016, Ani, 74.63
Total, Total, Dolj, Anul 2017, Ani, 74.88
Total, Total, Gorj, Anul 1990, Ani, 69.39
Total, Total, Gorj, Anul 1991, Ani, 69.76
Total, Total, Gorj, Anul 1992, Ani, 70.13
Total, Total, Gorj, Anul 1993, Ani, 70.39
Total, Total, Gorj, Anul 1994, Ani, 70.54
Total, Total, Gorj, Anul 1995, Ani, 70.12
Total, Total, Gorj, Anul 1996, Ani, 69.44
Total, Total, Gorj, Anul 1997, Ani, 69.16
Total, Total, Gorj, Anul 1998, Ani, 69.04
Total, Total, Gorj, Anul 1999, Ani, 69.71
Total, Total, Gorj, Anul 2000, Ani, 70.94
Total, Total, Gorj, Anul 2001, Ani, 71.58
Total, Total, Gorj, Anul 2002, Ani, 71.53
Total, Total, Gorj, Anul 2003, Ani, 71.5
Total, Total, Gorj, Anul 2004, Ani, 71.79
Total, Total, Gorj, Anul 2005, Ani, 71.96
Total, Total, Gorj, Anul 2006, Ani, 72.53
Total, Total, Gorj, Anul 2007, Ani, 72.95
Total, Total, Gorj, Anul 2008, Ani, 73.35
Total, Total, Gorj, Anul 2009, Ani, 73.6
Total, Total, Gorj, Anul 2010, Ani, 73.51
Total, Total, Gorj, Anul 2011, Ani, 73.77
Total, Total, Gorj, Anul 2012, Ani, 74.22
Total, Total, Gorj, Anul 2013, Ani, 74.75
Total, Total, Gorj, Anul 2014, Ani, 74.98
Total, Total, Gorj, Anul 2015, Ani, 75.06
Total, Total, Gorj, Anul 2016, Ani, 75.33
Total, Total, Gorj, Anul 2017, Ani, 75.37
Total, Total, Mehedinti, Anul 1990, Ani, 68.46
Total, Total, Mehedinti, Anul 1991, Ani, 68.82
Total, Total, Mehedinti, Anul 1992, Ani, 69.09
Total, Total, Mehedinti, Anul 1993, Ani, 69.9
Total, Total, Mehedinti, Anul 1994, Ani, 69.68
Total, Total, Mehedinti, Anul 1995, Ani, 69.19
Total, Total, Mehedinti, Anul 1996, Ani, 68.91
Total, Total, Mehedinti, Anul 1997, Ani, 68.92
Total, Total, Mehedinti, Anul 1998, Ani, 69.32
Total, Total, Mehedinti, Anul 1999, Ani, 69.96
Total, Total, Mehedinti, Anul 2000, Ani, 70.5
Total, Total, Mehedinti, Anul 2001, Ani, 71.11
Total, Total, Mehedinti, Anul 2002, Ani, 71.42
Total, Total, Mehedinti, Anul 2003, Ani, 71.03
Total, Total, Mehedinti, Anul 2004, Ani, 71.14
Total, Total, Mehedinti, Anul 2005, Ani, 71.21
Total, Total, Mehedinti, Anul 2006, Ani, 71.62
Total, Total, Mehedinti, Anul 2007, Ani, 72.02
Total, Total, Mehedinti, Anul 2008, Ani, 72.15
Total, Total, Mehedinti, Anul 2009, Ani, 72.26
Total, Total, Mehedinti, Anul 2010, Ani, 72.27
Total, Total, Mehedinti, Anul 2011, Ani, 72.58
Total, Total, Mehedinti, Anul 2012, Ani, 73.29
Total, Total, Mehedinti, Anul 2013, Ani, 74.11
Total, Total, Mehedinti, Anul 2014, Ani, 74.16
Total, Total, Mehedinti, Anul 2015, Ani, 74.12
Total, Total, Mehedinti, Anul 2016, Ani, 74.84
Total, Total, Mehedinti, Anul 2017, Ani, 74.81
Total, Total, Olt, Anul 1990, Ani, 69.28
Total, Total, Olt, Anul 1991, Ani, 69.36
Total, Total, Olt, Anul 1992, Ani, 69.41
Total, Total, Olt, Anul 1993, Ani, 69.35
Total, Total, Olt, Anul 1994, Ani, 69.77
Total, Total, Olt, Anul 1995, Ani, 69.69
Total, Total, Olt, Anul 1996, Ani, 69.15
Total, Total, Olt, Anul 1997, Ani, 68.63
Total, Total, Olt, Anul 1998, Ani, 68.67
Total, Total, Olt, Anul 1999, Ani, 69.07
Total, Total, Olt, Anul 2000, Ani, 69.92
Total, Total, Olt, Anul 2001, Ani, 71.09
Total, Total, Olt, Anul 2002, Ani, 70.85
Total, Total, Olt, Anul 2003, Ani, 70.51
Total, Total, Olt, Anul 2004, Ani, 71.14
Total, Total, Olt, Anul 2005, Ani, 71.23
Total, Total, Olt, Anul 2006, Ani, 71.23
Total, Total, Olt, Anul 2007, Ani, 71.79
Total, Total, Olt, Anul 2008, Ani, 72.12
Total, Total, Olt, Anul 2009, Ani, 72.29
Total, Total, Olt, Anul 2010, Ani, 72.61
Total, Total, Olt, Anul 2011, Ani, 73.13
Total, Total, Olt, Anul 2012, Ani, 73.95
Total, Total, Olt, Anul 2013, Ani, 74.33
Total, Total, Olt, Anul 2014, Ani, 74.25
Total, Total, Olt, Anul 2015, Ani, 74.06
Total, Total, Olt, Anul 2016, Ani, 74.63
Total, Total, Olt, Anul 2017, Ani, 74.9
Total, Total, Valcea, Anul 1990, Ani, 70.45
Total, Total, Valcea, Anul 1991, Ani, 70.86
Total, Total, Valcea, Anul 1992, Ani, 70.98
Total, Total, Valcea, Anul 1993, Ani, 71.19
Total, Total, Valcea, Anul 1994, Ani, 71.07
Total, Total, Valcea, Anul 1995, Ani, 70.92
Total, Total, Valcea, Anul 1996, Ani, 70.79
Total, Total, Valcea, Anul 1997, Ani, 70.44
Total, Total, Valcea, Anul 1998, Ani, 70
Total, Total, Valcea, Anul 1999, Ani, 70.56
Total, Total, Valcea, Anul 2000, Ani, 71.91
Total, Total, Valcea, Anul 2001, Ani, 72.68
Total, Total, Valcea, Anul 2002, Ani, 72.65
Total, Total, Valcea, Anul 2003, Ani, 72.22
Total, Total, Valcea, Anul 2004, Ani, 72.49
Total, Total, Valcea, Anul 2005, Ani, 72.85
Total, Total, Valcea, Anul 2006, Ani, 73.25
Total, Total, Valcea, Anul 2007, Ani, 73.84
Total, Total, Valcea, Anul 2008, Ani, 74.22
Total, Total, Valcea, Anul 2009, Ani, 74.77
Total, Total, Valcea, Anul 2010, Ani, 75.16
Total, Total, Valcea, Anul 2011, Ani, 75.56
Total, Total, Valcea, Anul 2012, Ani, 76.37
Total, Total, Valcea, Anul 2013, Ani, 77.44
Total, Total, Valcea, Anul 2014, Ani, 77.89
Total, Total, Valcea, Anul 2015, Ani, 77.51
Total, Total, Valcea, Anul 2016, Ani, 78.21
Total, Total, Valcea, Anul 2017, Ani, 79.4
Total, Total, Regiunea VEST, Anul 1990, Ani, 68.29
Total, Total, Regiunea VEST, Anul 1991, Ani, 68.48
Total, Total, Regiunea VEST, Anul 1992, Ani, 68.58
Total, Total, Regiunea VEST, Anul 1993, Ani, 68.2
Total, Total, Regiunea VEST, Anul 1994, Ani, 68.32
Total, Total, Regiunea VEST, Anul 1995, Ani, 68.42
Total, Total, Regiunea VEST, Anul 1996, Ani, 68.14
Total, Total, Regiunea VEST, Anul 1997, Ani, 68.08
Total, Total, Regiunea VEST, Anul 1998, Ani, 68.51
Total, Total, Regiunea VEST, Anul 1999, Ani, 69.15
Total, Total, Regiunea VEST, Anul 2000, Ani, 69.89
Total, Total, Regiunea VEST, Anul 2001, Ani, 70.57
Total, Total, Regiunea VEST, Anul 2002, Ani, 70.7
Total, Total, Regiunea VEST, Anul 2003, Ani, 70.58
Total, Total, Regiunea VEST, Anul 2004, Ani, 70.78
Total, Total, Regiunea VEST, Anul 2005, Ani, 71
Total, Total, Regiunea VEST, Anul 2006, Ani, 71.46
Total, Total, Regiunea VEST, Anul 2007, Ani, 71.89
Total, Total, Regiunea VEST, Anul 2008, Ani, 73.14
Total, Total, Regiunea VEST, Anul 2009, Ani, 73.62
Total, Total, Regiunea VEST, Anul 2010, Ani, 73.73
Total, Total, Regiunea VEST, Anul 2011, Ani, 73.98
Total, Total, Regiunea VEST, Anul 2012, Ani, 74.47
Total, Total, Regiunea VEST, Anul 2013, Ani, 75.02
Total, Total, Regiunea VEST, Anul 2014, Ani, 75.31
Total, Total, Regiunea VEST, Anul 2015, Ani, 75.04
Total, Total, Regiunea VEST, Anul 2016, Ani, 75.28
Total, Total, Regiunea VEST, Anul 2017, Ani, 75.54
Total, Total, Arad, Anul 1990, Ani, 68.39
Total, Total, Arad, Anul 1991, Ani, 68.29
Total, Total, Arad, Anul 1992, Ani, 68.58
Total, Total, Arad, Anul 1993, Ani, 68.26
Total, Total, Arad, Anul 1994, Ani, 68.44
Total, Total, Arad, Anul 1995, Ani, 68.68
Total, Total, Arad, Anul 1996, Ani, 68.4
Total, Total, Arad, Anul 1997, Ani, 68.25
Total, Total, Arad, Anul 1998, Ani, 68.64
Total, Total, Arad, Anul 1999, Ani, 69.31
Total, Total, Arad, Anul 2000, Ani, 69.89
Total, Total, Arad, Anul 2001, Ani, 70.47
Total, Total, Arad, Anul 2002, Ani, 70.63
Total, Total, Arad, Anul 2003, Ani, 70.35
Total, Total, Arad, Anul 2004, Ani, 70.55
Total, Total, Arad, Anul 2005, Ani, 70.93
Total, Total, Arad, Anul 2006, Ani, 71.5
Total, Total, Arad, Anul 2007, Ani, 71.82
Total, Total, Arad, Anul 2008, Ani, 72.82
Total, Total, Arad, Anul 2009, Ani, 73.28
Total, Total, Arad, Anul 2010, Ani, 73.35
Total, Total, Arad, Anul 2011, Ani, 73.65
Total, Total, Arad, Anul 2012, Ani, 74.18
Total, Total, Arad, Anul 2013, Ani, 74.64
Total, Total, Arad, Anul 2014, Ani, 74.81
Total, Total, Arad, Anul 2015, Ani, 74.61
Total, Total, Arad, Anul 2016, Ani, 74.89
Total, Total, Arad, Anul 2017, Ani, 75
Total, Total, Caras-Severin, Anul 1990, Ani, 67.7
Total, Total, Caras-Severin, Anul 1991, Ani, 67.95
Total, Total, Caras-Severin, Anul 1992, Ani, 68.35
Total, Total, Caras-Severin, Anul 1993, Ani, 67.98
Total, Total, Caras-Severin, Anul 1994, Ani, 67.99
Total, Total, Caras-Severin, Anul 1995, Ani, 68
Total, Total, Caras-Severin, Anul 1996, Ani, 67.94
Total, Total, Caras-Severin, Anul 1997, Ani, 67.88
Total, Total, Caras-Severin, Anul 1998, Ani, 68.05
Total, Total, Caras-Severin, Anul 1999, Ani, 68.58
Total, Total, Caras-Severin, Anul 2000, Ani, 69.48
Total, Total, Caras-Severin, Anul 2001, Ani, 70.13
Total, Total, Caras-Severin, Anul 2002, Ani, 70.49
Total, Total, Caras-Severin, Anul 2003, Ani, 70.65
Total, Total, Caras-Severin, Anul 2004, Ani, 70.97
Total, Total, Caras-Severin, Anul 2005, Ani, 70.62
Total, Total, Caras-Severin, Anul 2006, Ani, 70.65
Total, Total, Caras-Severin, Anul 2007, Ani, 71.1
Total, Total, Caras-Severin, Anul 2008, Ani, 72.61
Total, Total, Caras-Severin, Anul 2009, Ani, 73.08
Total, Total, Caras-Severin, Anul 2010, Ani, 73.14
Total, Total, Caras-Severin, Anul 2011, Ani, 73.44
Total, Total, Caras-Severin, Anul 2012, Ani, 73.89
Total, Total, Caras-Severin, Anul 2013, Ani, 74.57
Total, Total, Caras-Severin, Anul 2014, Ani, 74.7
Total, Total, Caras-Severin, Anul 2015, Ani, 74.4
Total, Total, Caras-Severin, Anul 2016, Ani, 74.8
Total, Total, Caras-Severin, Anul 2017, Ani, 75.1
Total, Total, Hunedoara, Anul 1990, Ani, 68.08
Total, Total, Hunedoara, Anul 1991, Ani, 68.61
Total, Total, Hunedoara, Anul 1992, Ani, 68.39
Total, Total, Hunedoara, Anul 1993, Ani, 68.03
Total, Total, Hunedoara, Anul 1994, Ani, 68.15
Total, Total, Hunedoara, Anul 1995, Ani, 68.09
Total, Total, Hunedoara, Anul 1996, Ani, 67.69
Total, Total, Hunedoara, Anul 1997, Ani, 67.55
Total, Total, Hunedoara, Anul 1998, Ani, 68.17
Total, Total, Hunedoara, Anul 1999, Ani, 68.81
Total, Total, Hunedoara, Anul 2000, Ani, 69.48
Total, Total, Hunedoara, Anul 2001, Ani, 70.28
Total, Total, Hunedoara, Anul 2002, Ani, 70.28
Total, Total, Hunedoara, Anul 2003, Ani, 69.97
Total, Total, Hunedoara, Anul 2004, Ani, 70.29
Total, Total, Hunedoara, Anul 2005, Ani, 70.81
Total, Total, Hunedoara, Anul 2006, Ani, 71.1
Total, Total, Hunedoara, Anul 2007, Ani, 71.41
Total, Total, Hunedoara, Anul 2008, Ani, 72.69
Total, Total, Hunedoara, Anul 2009, Ani, 73.28
Total, Total, Hunedoara, Anul 2010, Ani, 73.43
Total, Total, Hunedoara, Anul 2011, Ani, 73.86
Total, Total, Hunedoara, Anul 2012, Ani, 74.21
Total, Total, Hunedoara, Anul 2013, Ani, 74.72
Total, Total, Hunedoara, Anul 2014, Ani, 75.12
Total, Total, Hunedoara, Anul 2015, Ani, 74.64
Total, Total, Hunedoara, Anul 2016, Ani, 74.68
Total, Total, Hunedoara, Anul 2017, Ani, 74.94
Total, Total, Timis, Anul 1990, Ani, 69
Total, Total, Timis, Anul 1991, Ani, 69.07
Total, Total, Timis, Anul 1992, Ani, 68.99
Total, Total, Timis, Anul 1993, Ani, 68.53
Total, Total, Timis, Anul 1994, Ani, 68.68
Total, Total, Timis, Anul 1995, Ani, 68.91
Total, Total, Timis, Anul 1996, Ani, 68.51
Total, Total, Timis, Anul 1997, Ani, 68.65
Total, Total, Timis, Anul 1998, Ani, 69.19
Total, Total, Timis, Anul 1999, Ani, 69.59
Total, Total, Timis, Anul 2000, Ani, 70.44
Total, Total, Timis, Anul 2001, Ani, 71.05
Total, Total, Timis, Anul 2002, Ani, 71.2
Total, Total, Timis, Anul 2003, Ani, 71.21
Total, Total, Timis, Anul 2004, Ani, 71.21
Total, Total, Timis, Anul 2005, Ani, 71.43
Total, Total, Timis, Anul 2006, Ani, 72.13
Total, Total, Timis, Anul 2007, Ani, 72.73
Total, Total, Timis, Anul 2008, Ani, 73.98
Total, Total, Timis, Anul 2009, Ani, 74.41
Total, Total, Timis, Anul 2010, Ani, 74.54
Total, Total, Timis, Anul 2011, Ani, 74.61
Total, Total, Timis, Anul 2012, Ani, 75.13
Total, Total, Timis, Anul 2013, Ani, 75.73
Total, Total, Timis, Anul 2014, Ani, 76.12
Total, Total, Timis, Anul 2015, Ani, 75.93
Total, Total, Timis, Anul 2016, Ani, 76.15
Total, Total, Timis, Anul 2017, Ani, 76.48
