ABF - Categorii de cheltuieli  iesiri de bani si in natura, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, UM: Lei  lei RON (incepand cu 2005), Valoare
Total, Total, TOTAL, Anul 2008, Lei, 1915.19
Total, Total, TOTAL, Anul 2009, Lei, 2047.33
Total, Total, TOTAL, Anul 2010, Lei, 2062.95
Total, Total, TOTAL, Anul 2011, Lei, 2183.76
Total, Total, TOTAL, Anul 2012, Lei, 2244.47
Total, Total, TOTAL, Anul 2013, Lei, 2317.4
Total, Total, TOTAL, Anul 2014, Lei, 2269.25
Total, Total, TOTAL, Anul 2015, Lei, 2351.53
Total, Total, TOTAL, Anul 2016, Lei, 2523.99
Total, Total, TOTAL, Anul 2017, Lei, 2874.14
Total, Total, MACROREGIUNEA UNU, Anul 2008, Lei, 1951.99
Total, Total, MACROREGIUNEA UNU, Anul 2009, Lei, 2020.61
Total, Total, MACROREGIUNEA UNU, Anul 2010, Lei, 2078.94
Total, Total, MACROREGIUNEA UNU, Anul 2011, Lei, 2259.12
Total, Total, MACROREGIUNEA UNU, Anul 2012, Lei, 2275.25
Total, Total, MACROREGIUNEA UNU, Anul 2013, Lei, 2433.39
Total, Total, MACROREGIUNEA UNU, Anul 2014, Lei, 2342.08
Total, Total, MACROREGIUNEA UNU, Anul 2015, Lei, 2597.35
Total, Total, MACROREGIUNEA UNU, Anul 2016, Lei, 2703.74
Total, Total, MACROREGIUNEA UNU, Anul 2017, Lei, 3078.54
Total, Total, Regiunea NORD-VEST, Anul 2008, Lei, 2004.49
Total, Total, Regiunea NORD-VEST, Anul 2009, Lei, 2055.01
Total, Total, Regiunea NORD-VEST, Anul 2010, Lei, 2138.45
Total, Total, Regiunea NORD-VEST, Anul 2011, Lei, 2293.19
Total, Total, Regiunea NORD-VEST, Anul 2012, Lei, 2314.65
Total, Total, Regiunea NORD-VEST, Anul 2013, Lei, 2398.23
Total, Total, Regiunea NORD-VEST, Anul 2014, Lei, 2401.77
Total, Total, Regiunea NORD-VEST, Anul 2015, Lei, 2626.58
Total, Total, Regiunea NORD-VEST, Anul 2016, Lei, 2770
Total, Total, Regiunea NORD-VEST, Anul 2017, Lei, 3162.4
Total, Total, Regiunea CENTRU, Anul 2008, Lei, 1896.33
Total, Total, Regiunea CENTRU, Anul 2009, Lei, 1984.15
Total, Total, Regiunea CENTRU, Anul 2010, Lei, 2015.94
Total, Total, Regiunea CENTRU, Anul 2011, Lei, 2223.05
Total, Total, Regiunea CENTRU, Anul 2012, Lei, 2233.54
Total, Total, Regiunea CENTRU, Anul 2013, Lei, 2470.59
Total, Total, Regiunea CENTRU, Anul 2014, Lei, 2277.2
Total, Total, Regiunea CENTRU, Anul 2015, Lei, 2565.58
Total, Total, Regiunea CENTRU, Anul 2016, Lei, 2631.71
Total, Total, Regiunea CENTRU, Anul 2017, Lei, 2987.2
Total, Total, MACROREGIUNEA DOI, Anul 2008, Lei, 1763.14
Total, Total, MACROREGIUNEA DOI, Anul 2009, Lei, 1923.35
Total, Total, MACROREGIUNEA DOI, Anul 2010, Lei, 1871.48
Total, Total, MACROREGIUNEA DOI, Anul 2011, Lei, 2021.97
Total, Total, MACROREGIUNEA DOI, Anul 2012, Lei, 2060.68
Total, Total, MACROREGIUNEA DOI, Anul 2013, Lei, 2100.85
Total, Total, MACROREGIUNEA DOI, Anul 2014, Lei, 1982.53
Total, Total, MACROREGIUNEA DOI, Anul 2015, Lei, 2026.8
Total, Total, MACROREGIUNEA DOI, Anul 2016, Lei, 2224.76
Total, Total, MACROREGIUNEA DOI, Anul 2017, Lei, 2581.99
Total, Total, Regiunea NORD-EST, Anul 2008, Lei, 1775.07
Total, Total, Regiunea NORD-EST, Anul 2009, Lei, 1971.48
Total, Total, Regiunea NORD-EST, Anul 2010, Lei, 1908.95
Total, Total, Regiunea NORD-EST, Anul 2011, Lei, 2056.73
Total, Total, Regiunea NORD-EST, Anul 2012, Lei, 2123.5
Total, Total, Regiunea NORD-EST, Anul 2013, Lei, 2175.4
Total, Total, Regiunea NORD-EST, Anul 2014, Lei, 2029.93
Total, Total, Regiunea NORD-EST, Anul 2015, Lei, 1994.25
Total, Total, Regiunea NORD-EST, Anul 2016, Lei, 2161.35
Total, Total, Regiunea NORD-EST, Anul 2017, Lei, 2525.05
Total, Total, Regiunea SUD-EST, Anul 2008, Lei, 1748.01
Total, Total, Regiunea SUD-EST, Anul 2009, Lei, 1862.24
Total, Total, Regiunea SUD-EST, Anul 2010, Lei, 1823.86
Total, Total, Regiunea SUD-EST, Anul 2011, Lei, 1977.75
Total, Total, Regiunea SUD-EST, Anul 2012, Lei, 1980.47
Total, Total, Regiunea SUD-EST, Anul 2013, Lei, 2005.35
Total, Total, Regiunea SUD-EST, Anul 2014, Lei, 1922.04
Total, Total, Regiunea SUD-EST, Anul 2015, Lei, 2068.35
Total, Total, Regiunea SUD-EST, Anul 2016, Lei, 2305.68
Total, Total, Regiunea SUD-EST, Anul 2017, Lei, 2654.87
Total, Total, MACROREGIUNEA TREI, Anul 2008, Lei, 2102.02
Total, Total, MACROREGIUNEA TREI, Anul 2009, Lei, 2273.58
Total, Total, MACROREGIUNEA TREI, Anul 2010, Lei, 2325.3
Total, Total, MACROREGIUNEA TREI, Anul 2011, Lei, 2334.78
Total, Total, MACROREGIUNEA TREI, Anul 2012, Lei, 2412.22
Total, Total, MACROREGIUNEA TREI, Anul 2013, Lei, 2461.14
Total, Total, MACROREGIUNEA TREI, Anul 2014, Lei, 2535.96
Total, Total, MACROREGIUNEA TREI, Anul 2015, Lei, 2551.9
Total, Total, MACROREGIUNEA TREI, Anul 2016, Lei, 2774.13
Total, Total, MACROREGIUNEA TREI, Anul 2017, Lei, 3157.14
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Lei, 2387.89
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Lei, 2621.64
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Lei, 2598.37
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Lei, 2657.57
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Lei, 2679.87
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Lei, 2817.54
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Lei, 2908.32
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Lei, 3020.21
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Lei, 3335.62
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Lei, 3794.77
Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Lei, 1889.46
Total, Total, Regiunea SUD-MUNTENIA, Anul 2009, Lei, 2013.58
Total, Total, Regiunea SUD-MUNTENIA, Anul 2010, Lei, 2120.07
Total, Total, Regiunea SUD-MUNTENIA, Anul 2011, Lei, 2090.72
Total, Total, Regiunea SUD-MUNTENIA, Anul 2012, Lei, 2209
Total, Total, Regiunea SUD-MUNTENIA, Anul 2013, Lei, 2189.64
Total, Total, Regiunea SUD-MUNTENIA, Anul 2014, Lei, 2240.33
Total, Total, Regiunea SUD-MUNTENIA, Anul 2015, Lei, 2180.1
Total, Total, Regiunea SUD-MUNTENIA, Anul 2016, Lei, 2328.35
Total, Total, Regiunea SUD-MUNTENIA, Anul 2017, Lei, 2646.31
Total, Total, MACROREGIUNEA PATRU, Anul 2008, Lei, 1848.99
Total, Total, MACROREGIUNEA PATRU, Anul 2009, Lei, 1963.9
Total, Total, MACROREGIUNEA PATRU, Anul 2010, Lei, 1980.69
Total, Total, MACROREGIUNEA PATRU, Anul 2011, Lei, 2132.69
Total, Total, MACROREGIUNEA PATRU, Anul 2012, Lei, 2260.78
Total, Total, MACROREGIUNEA PATRU, Anul 2013, Lei, 2310.37
Total, Total, MACROREGIUNEA PATRU, Anul 2014, Lei, 2235.19
Total, Total, MACROREGIUNEA PATRU, Anul 2015, Lei, 2250
Total, Total, MACROREGIUNEA PATRU, Anul 2016, Lei, 2397.62
Total, Total, MACROREGIUNEA PATRU, Anul 2017, Lei, 2658.63
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Lei, 1723.18
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Lei, 1770.09
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Lei, 1834.16
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Lei, 1919.76
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Lei, 2007.89
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Lei, 2131.63
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Lei, 2053.45
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Lei, 2079.08
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Lei, 2219.99
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Lei, 2563.76
Total, Total, Regiunea VEST, Anul 2008, Lei, 1992.93
Total, Total, Regiunea VEST, Anul 2009, Lei, 2185.01
Total, Total, Regiunea VEST, Anul 2010, Lei, 2147.51
Total, Total, Regiunea VEST, Anul 2011, Lei, 2374.35
Total, Total, Regiunea VEST, Anul 2012, Lei, 2547.22
Total, Total, Regiunea VEST, Anul 2013, Lei, 2512.43
Total, Total, Regiunea VEST, Anul 2014, Lei, 2437.5
Total, Total, Regiunea VEST, Anul 2015, Lei, 2440.26
Total, Total, Regiunea VEST, Anul 2016, Lei, 2595.36
Total, Total, Regiunea VEST, Anul 2017, Lei, 2763.76
