Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
TOTAL, Anul 1990, Numar, 450
TOTAL, Anul 1991, Numar, 446
TOTAL, Anul 1992, Numar, 428
TOTAL, Anul 1993, Numar, 440
TOTAL, Anul 1994, Numar, 453
TOTAL, Anul 1995, Numar, 458
TOTAL, Anul 1996, Numar, 487
TOTAL, Anul 1997, Numar, 512
TOTAL, Anul 1998, Numar, 506
TOTAL, Anul 1999, Numar, 515
TOTAL, Anul 2000, Numar, 519
TOTAL, Anul 2001, Numar, 524
TOTAL, Anul 2002, Numar, 548
TOTAL, Anul 2003, Numar, 551
TOTAL, Anul 2004, Numar, 557
TOTAL, Anul 2005, Numar, 667
TOTAL, Anul 2006, Numar, 666
TOTAL, Anul 2007, Numar, 679
TOTAL, Anul 2008, Numar, 688
TOTAL, Anul 2009, Numar, 694
TOTAL, Anul 2010, Numar, 687
TOTAL, Anul 2011, Numar, 709
TOTAL, Anul 2012, Numar, 663
TOTAL, Anul 2013, Numar, 750
TOTAL, Anul 2014, Numar, 739
TOTAL, Anul 2015, Numar, 738
TOTAL, Anul 2016, Numar, 761
TOTAL, Anul 2017, Numar, 762
MACROREGIUNEA UNU, Anul 1990, Numar, 107
MACROREGIUNEA UNU, Anul 1991, Numar, 106
MACROREGIUNEA UNU, Anul 1992, Numar, 102
MACROREGIUNEA UNU, Anul 1993, Numar, 108
MACROREGIUNEA UNU, Anul 1994, Numar, 110
MACROREGIUNEA UNU, Anul 1995, Numar, 114
MACROREGIUNEA UNU, Anul 1996, Numar, 122
MACROREGIUNEA UNU, Anul 1997, Numar, 127
MACROREGIUNEA UNU, Anul 1998, Numar, 125
MACROREGIUNEA UNU, Anul 1999, Numar, 131
MACROREGIUNEA UNU, Anul 2000, Numar, 134
MACROREGIUNEA UNU, Anul 2001, Numar, 135
MACROREGIUNEA UNU, Anul 2002, Numar, 137
MACROREGIUNEA UNU, Anul 2003, Numar, 137
MACROREGIUNEA UNU, Anul 2004, Numar, 143
MACROREGIUNEA UNU, Anul 2005, Numar, 192
MACROREGIUNEA UNU, Anul 2006, Numar, 191
MACROREGIUNEA UNU, Anul 2007, Numar, 199
MACROREGIUNEA UNU, Anul 2008, Numar, 203
MACROREGIUNEA UNU, Anul 2009, Numar, 205
MACROREGIUNEA UNU, Anul 2010, Numar, 201
MACROREGIUNEA UNU, Anul 2011, Numar, 211
MACROREGIUNEA UNU, Anul 2012, Numar, 198
MACROREGIUNEA UNU, Anul 2013, Numar, 247
MACROREGIUNEA UNU, Anul 2014, Numar, 242
MACROREGIUNEA UNU, Anul 2015, Numar, 242
MACROREGIUNEA UNU, Anul 2016, Numar, 248
MACROREGIUNEA UNU, Anul 2017, Numar, 252
Regiunea NORD-VEST, Anul 1990, Numar, 48
Regiunea NORD-VEST, Anul 1991, Numar, 46
Regiunea NORD-VEST, Anul 1992, Numar, 48
Regiunea NORD-VEST, Anul 1993, Numar, 52
Regiunea NORD-VEST, Anul 1994, Numar, 52
Regiunea NORD-VEST, Anul 1995, Numar, 55
Regiunea NORD-VEST, Anul 1996, Numar, 64
Regiunea NORD-VEST, Anul 1997, Numar, 63
Regiunea NORD-VEST, Anul 1998, Numar, 62
Regiunea NORD-VEST, Anul 1999, Numar, 67
Regiunea NORD-VEST, Anul 2000, Numar, 69
Regiunea NORD-VEST, Anul 2001, Numar, 72
Regiunea NORD-VEST, Anul 2002, Numar, 73
Regiunea NORD-VEST, Anul 2003, Numar, 73
Regiunea NORD-VEST, Anul 2004, Numar, 71
Regiunea NORD-VEST, Anul 2005, Numar, 82
Regiunea NORD-VEST, Anul 2006, Numar, 88
Regiunea NORD-VEST, Anul 2007, Numar, 90
Regiunea NORD-VEST, Anul 2008, Numar, 94
Regiunea NORD-VEST, Anul 2009, Numar, 95
Regiunea NORD-VEST, Anul 2010, Numar, 94
Regiunea NORD-VEST, Anul 2011, Numar, 93
Regiunea NORD-VEST, Anul 2012, Numar, 86
Regiunea NORD-VEST, Anul 2013, Numar, 86
Regiunea NORD-VEST, Anul 2014, Numar, 85
Regiunea NORD-VEST, Anul 2015, Numar, 89
Regiunea NORD-VEST, Anul 2016, Numar, 87
Regiunea NORD-VEST, Anul 2017, Numar, 89
Bihor, Anul 1990, Numar, 14
Bihor, Anul 1991, Numar, 13
Bihor, Anul 1992, Numar, 13
Bihor, Anul 1993, Numar, 13
Bihor, Anul 1994, Numar, 13
Bihor, Anul 1995, Numar, 13
Bihor, Anul 1996, Numar, 11
Bihor, Anul 1997, Numar, 11
Bihor, Anul 1998, Numar, 11
Bihor, Anul 1999, Numar, 16
Bihor, Anul 2000, Numar, 16
Bihor, Anul 2001, Numar, 16
Bihor, Anul 2002, Numar, 16
Bihor, Anul 2003, Numar, 16
Bihor, Anul 2004, Numar, 16
Bihor, Anul 2005, Numar, 16
Bihor, Anul 2006, Numar, 16
Bihor, Anul 2007, Numar, 16
Bihor, Anul 2008, Numar, 16
Bihor, Anul 2009, Numar, 17
Bihor, Anul 2010, Numar, 17
Bihor, Anul 2011, Numar, 17
Bihor, Anul 2012, Numar, 11
Bihor, Anul 2013, Numar, 12
Bihor, Anul 2014, Numar, 11
Bihor, Anul 2015, Numar, 13
Bihor, Anul 2016, Numar, 12
Bihor, Anul 2017, Numar, 14
Bistrita-Nasaud, Anul 1990, Numar, 5
Bistrita-Nasaud, Anul 1991, Numar, 5
Bistrita-Nasaud, Anul 1992, Numar, 6
Bistrita-Nasaud, Anul 1993, Numar, 6
Bistrita-Nasaud, Anul 1994, Numar, 6
Bistrita-Nasaud, Anul 1995, Numar, 7
Bistrita-Nasaud, Anul 1996, Numar, 7
Bistrita-Nasaud, Anul 1997, Numar, 6
Bistrita-Nasaud, Anul 1998, Numar, 7
Bistrita-Nasaud, Anul 1999, Numar, 7
Bistrita-Nasaud, Anul 2000, Numar, 7
Bistrita-Nasaud, Anul 2001, Numar, 7
Bistrita-Nasaud, Anul 2002, Numar, 8
Bistrita-Nasaud, Anul 2003, Numar, 8
Bistrita-Nasaud, Anul 2004, Numar, 8
Bistrita-Nasaud, Anul 2005, Numar, 8
Bistrita-Nasaud, Anul 2006, Numar, 8
Bistrita-Nasaud, Anul 2007, Numar, 9
Bistrita-Nasaud, Anul 2008, Numar, 10
Bistrita-Nasaud, Anul 2009, Numar, 10
Bistrita-Nasaud, Anul 2010, Numar, 10
Bistrita-Nasaud, Anul 2011, Numar, 10
Bistrita-Nasaud, Anul 2012, Numar, 10
Bistrita-Nasaud, Anul 2013, Numar, 10
Bistrita-Nasaud, Anul 2014, Numar, 10
Bistrita-Nasaud, Anul 2015, Numar, 10
Bistrita-Nasaud, Anul 2016, Numar, 10
Bistrita-Nasaud, Anul 2017, Numar, 10
Cluj, Anul 1990, Numar, 13
Cluj, Anul 1991, Numar, 13
Cluj, Anul 1992, Numar, 12
Cluj, Anul 1993, Numar, 13
Cluj, Anul 1994, Numar, 13
Cluj, Anul 1995, Numar, 13
Cluj, Anul 1996, Numar, 13
Cluj, Anul 1997, Numar, 13
Cluj, Anul 1998, Numar, 13
Cluj, Anul 1999, Numar, 13
Cluj, Anul 2000, Numar, 14
Cluj, Anul 2001, Numar, 14
Cluj, Anul 2002, Numar, 14
Cluj, Anul 2003, Numar, 13
Cluj, Anul 2004, Numar, 13
Cluj, Anul 2005, Numar, 19
Cluj, Anul 2006, Numar, 19
Cluj, Anul 2007, Numar, 21
Cluj, Anul 2008, Numar, 24
Cluj, Anul 2009, Numar, 24
Cluj, Anul 2010, Numar, 23
Cluj, Anul 2011, Numar, 23
Cluj, Anul 2012, Numar, 22
Cluj, Anul 2013, Numar, 22
Cluj, Anul 2014, Numar, 22
Cluj, Anul 2015, Numar, 22
Cluj, Anul 2016, Numar, 21
Cluj, Anul 2017, Numar, 21
Maramures, Anul 1990, Numar, 9
Maramures, Anul 1991, Numar, 8
Maramures, Anul 1992, Numar, 10
Maramures, Anul 1993, Numar, 13
Maramures, Anul 1994, Numar, 13
Maramures, Anul 1995, Numar, 13
Maramures, Anul 1996, Numar, 18
Maramures, Anul 1997, Numar, 18
Maramures, Anul 1998, Numar, 16
Maramures, Anul 1999, Numar, 16
Maramures, Anul 2000, Numar, 16
Maramures, Anul 2001, Numar, 20
Maramures, Anul 2002, Numar, 20
Maramures, Anul 2003, Numar, 20
Maramures, Anul 2004, Numar, 19
Maramures, Anul 2005, Numar, 20
Maramures, Anul 2006, Numar, 26
Maramures, Anul 2007, Numar, 25
Maramures, Anul 2008, Numar, 25
Maramures, Anul 2009, Numar, 25
Maramures, Anul 2010, Numar, 25
Maramures, Anul 2011, Numar, 25
Maramures, Anul 2012, Numar, 25
Maramures, Anul 2013, Numar, 19
Maramures, Anul 2014, Numar, 19
Maramures, Anul 2015, Numar, 20
Maramures, Anul 2016, Numar, 20
Maramures, Anul 2017, Numar, 20
Satu Mare, Anul 1990, Numar, 5
Satu Mare, Anul 1991, Numar, 5
Satu Mare, Anul 1992, Numar, 5
Satu Mare, Anul 1993, Numar, 5
Satu Mare, Anul 1994, Numar, 5
Satu Mare, Anul 1995, Numar, 7
Satu Mare, Anul 1996, Numar, 11
Satu Mare, Anul 1997, Numar, 11
Satu Mare, Anul 1998, Numar, 11
Satu Mare, Anul 1999, Numar, 11
Satu Mare, Anul 2000, Numar, 12
Satu Mare, Anul 2001, Numar, 11
Satu Mare, Anul 2002, Numar, 11
Satu Mare, Anul 2003, Numar, 12
Satu Mare, Anul 2004, Numar, 11
Satu Mare, Anul 2005, Numar, 15
Satu Mare, Anul 2006, Numar, 15
Satu Mare, Anul 2007, Numar, 15
Satu Mare, Anul 2008, Numar, 15
Satu Mare, Anul 2009, Numar, 15
Satu Mare, Anul 2010, Numar, 15
Satu Mare, Anul 2011, Numar, 15
Satu Mare, Anul 2012, Numar, 16
Satu Mare, Anul 2013, Numar, 16
Satu Mare, Anul 2014, Numar, 16
Satu Mare, Anul 2015, Numar, 16
Satu Mare, Anul 2016, Numar, 16
Satu Mare, Anul 2017, Numar, 16
Salaj, Anul 1990, Numar, 2
Salaj, Anul 1991, Numar, 2
Salaj, Anul 1992, Numar, 2
Salaj, Anul 1993, Numar, 2
Salaj, Anul 1994, Numar, 2
Salaj, Anul 1995, Numar, 2
Salaj, Anul 1996, Numar, 4
Salaj, Anul 1997, Numar, 4
Salaj, Anul 1998, Numar, 4
Salaj, Anul 1999, Numar, 4
Salaj, Anul 2000, Numar, 4
Salaj, Anul 2001, Numar, 4
Salaj, Anul 2002, Numar, 4
Salaj, Anul 2003, Numar, 4
Salaj, Anul 2004, Numar, 4
Salaj, Anul 2005, Numar, 4
Salaj, Anul 2006, Numar, 4
Salaj, Anul 2007, Numar, 4
Salaj, Anul 2008, Numar, 4
Salaj, Anul 2009, Numar, 4
Salaj, Anul 2010, Numar, 4
Salaj, Anul 2011, Numar, 3
Salaj, Anul 2012, Numar, 2
Salaj, Anul 2013, Numar, 7
Salaj, Anul 2014, Numar, 7
Salaj, Anul 2015, Numar, 8
Salaj, Anul 2016, Numar, 8
Salaj, Anul 2017, Numar, 8
Regiunea CENTRU, Anul 1990, Numar, 59
Regiunea CENTRU, Anul 1991, Numar, 60
Regiunea CENTRU, Anul 1992, Numar, 54
Regiunea CENTRU, Anul 1993, Numar, 56
Regiunea CENTRU, Anul 1994, Numar, 58
Regiunea CENTRU, Anul 1995, Numar, 59
Regiunea CENTRU, Anul 1996, Numar, 58
Regiunea CENTRU, Anul 1997, Numar, 64
Regiunea CENTRU, Anul 1998, Numar, 63
Regiunea CENTRU, Anul 1999, Numar, 64
Regiunea CENTRU, Anul 2000, Numar, 65
Regiunea CENTRU, Anul 2001, Numar, 63
Regiunea CENTRU, Anul 2002, Numar, 64
Regiunea CENTRU, Anul 2003, Numar, 64
Regiunea CENTRU, Anul 2004, Numar, 72
Regiunea CENTRU, Anul 2005, Numar, 110
Regiunea CENTRU, Anul 2006, Numar, 103
Regiunea CENTRU, Anul 2007, Numar, 109
Regiunea CENTRU, Anul 2008, Numar, 109
Regiunea CENTRU, Anul 2009, Numar, 110
Regiunea CENTRU, Anul 2010, Numar, 107
Regiunea CENTRU, Anul 2011, Numar, 118
Regiunea CENTRU, Anul 2012, Numar, 112
Regiunea CENTRU, Anul 2013, Numar, 161
Regiunea CENTRU, Anul 2014, Numar, 157
Regiunea CENTRU, Anul 2015, Numar, 153
Regiunea CENTRU, Anul 2016, Numar, 161
Regiunea CENTRU, Anul 2017, Numar, 163
Alba, Anul 1990, Numar, 10
Alba, Anul 1991, Numar, 11
Alba, Anul 1992, Numar, 9
Alba, Anul 1993, Numar, 10
Alba, Anul 1994, Numar, 10
Alba, Anul 1995, Numar, 10
Alba, Anul 1996, Numar, 10
Alba, Anul 1997, Numar, 10
Alba, Anul 1998, Numar, 10
Alba, Anul 1999, Numar, 10
Alba, Anul 2000, Numar, 10
Alba, Anul 2001, Numar, 10
Alba, Anul 2002, Numar, 10
Alba, Anul 2003, Numar, 11
Alba, Anul 2004, Numar, 13
Alba, Anul 2005, Numar, 16
Alba, Anul 2006, Numar, 15
Alba, Anul 2007, Numar, 15
Alba, Anul 2008, Numar, 16
Alba, Anul 2009, Numar, 15
Alba, Anul 2010, Numar, 14
Alba, Anul 2011, Numar, 15
Alba, Anul 2012, Numar, 15
Alba, Anul 2013, Numar, 56
Alba, Anul 2014, Numar, 57
Alba, Anul 2015, Numar, 55
Alba, Anul 2016, Numar, 56
Alba, Anul 2017, Numar, 57
Brasov, Anul 1990, Numar, 11
Brasov, Anul 1991, Numar, 11
Brasov, Anul 1992, Numar, 10
Brasov, Anul 1993, Numar, 11
Brasov, Anul 1994, Numar, 11
Brasov, Anul 1995, Numar, 11
Brasov, Anul 1996, Numar, 10
Brasov, Anul 1997, Numar, 10
Brasov, Anul 1998, Numar, 10
Brasov, Anul 1999, Numar, 10
Brasov, Anul 2000, Numar, 10
Brasov, Anul 2001, Numar, 10
Brasov, Anul 2002, Numar, 11
Brasov, Anul 2003, Numar, 10
Brasov, Anul 2004, Numar, 12
Brasov, Anul 2005, Numar, 17
Brasov, Anul 2006, Numar, 16
Brasov, Anul 2007, Numar, 20
Brasov, Anul 2008, Numar, 20
Brasov, Anul 2009, Numar, 21
Brasov, Anul 2010, Numar, 22
Brasov, Anul 2011, Numar, 22
Brasov, Anul 2012, Numar, 24
Brasov, Anul 2013, Numar, 31
Brasov, Anul 2014, Numar, 30
Brasov, Anul 2015, Numar, 29
Brasov, Anul 2016, Numar, 33
Brasov, Anul 2017, Numar, 35
Covasna, Anul 1990, Numar, 5
Covasna, Anul 1991, Numar, 5
Covasna, Anul 1992, Numar, 5
Covasna, Anul 1993, Numar, 5
Covasna, Anul 1994, Numar, 6
Covasna, Anul 1995, Numar, 6
Covasna, Anul 1996, Numar, 6
Covasna, Anul 1997, Numar, 7
Covasna, Anul 1998, Numar, 7
Covasna, Anul 1999, Numar, 8
Covasna, Anul 2000, Numar, 9
Covasna, Anul 2001, Numar, 9
Covasna, Anul 2002, Numar, 9
Covasna, Anul 2003, Numar, 8
Covasna, Anul 2004, Numar, 8
Covasna, Anul 2005, Numar, 10
Covasna, Anul 2006, Numar, 10
Covasna, Anul 2007, Numar, 10
Covasna, Anul 2008, Numar, 10
Covasna, Anul 2009, Numar, 10
Covasna, Anul 2010, Numar, 11
Covasna, Anul 2011, Numar, 11
Covasna, Anul 2012, Numar, 11
Covasna, Anul 2013, Numar, 9
Covasna, Anul 2014, Numar, 9
Covasna, Anul 2015, Numar, 9
Covasna, Anul 2016, Numar, 9
Covasna, Anul 2017, Numar, 9
Harghita, Anul 1990, Numar, 10
Harghita, Anul 1991, Numar, 10
Harghita, Anul 1992, Numar, 8
Harghita, Anul 1993, Numar, 8
Harghita, Anul 1994, Numar, 8
Harghita, Anul 1995, Numar, 9
Harghita, Anul 1996, Numar, 9
Harghita, Anul 1997, Numar, 10
Harghita, Anul 1998, Numar, 10
Harghita, Anul 1999, Numar, 10
Harghita, Anul 2000, Numar, 10
Harghita, Anul 2001, Numar, 10
Harghita, Anul 2002, Numar, 10
Harghita, Anul 2003, Numar, 10
Harghita, Anul 2004, Numar, 10
Harghita, Anul 2005, Numar, 30
Harghita, Anul 2006, Numar, 30
Harghita, Anul 2007, Numar, 29
Harghita, Anul 2008, Numar, 29
Harghita, Anul 2009, Numar, 30
Harghita, Anul 2010, Numar, 28
Harghita, Anul 2011, Numar, 30
Harghita, Anul 2012, Numar, 28
Harghita, Anul 2013, Numar, 25
Harghita, Anul 2014, Numar, 23
Harghita, Anul 2015, Numar, 24
Harghita, Anul 2016, Numar, 25
Harghita, Anul 2017, Numar, 23
Mures, Anul 1990, Numar, 6
Mures, Anul 1991, Numar, 6
Mures, Anul 1992, Numar, 5
Mures, Anul 1993, Numar, 5
Mures, Anul 1994, Numar, 6
Mures, Anul 1995, Numar, 6
Mures, Anul 1996, Numar, 6
Mures, Anul 1997, Numar, 9
Mures, Anul 1998, Numar, 8
Mures, Anul 1999, Numar, 10
Mures, Anul 2000, Numar, 10
Mures, Anul 2001, Numar, 8
Mures, Anul 2002, Numar, 8
Mures, Anul 2003, Numar, 8
Mures, Anul 2004, Numar, 12
Mures, Anul 2005, Numar, 15
Mures, Anul 2006, Numar, 15
Mures, Anul 2007, Numar, 16
Mures, Anul 2008, Numar, 14
Mures, Anul 2009, Numar, 14
Mures, Anul 2010, Numar, 14
Mures, Anul 2011, Numar, 14
Mures, Anul 2012, Numar, 13
Mures, Anul 2013, Numar, 14
Mures, Anul 2014, Numar, 13
Mures, Anul 2015, Numar, 13
Mures, Anul 2016, Numar, 13
Mures, Anul 2017, Numar, 14
Sibiu, Anul 1990, Numar, 17
Sibiu, Anul 1991, Numar, 17
Sibiu, Anul 1992, Numar, 17
Sibiu, Anul 1993, Numar, 17
Sibiu, Anul 1994, Numar, 17
Sibiu, Anul 1995, Numar, 17
Sibiu, Anul 1996, Numar, 17
Sibiu, Anul 1997, Numar, 18
Sibiu, Anul 1998, Numar, 18
Sibiu, Anul 1999, Numar, 16
Sibiu, Anul 2000, Numar, 16
Sibiu, Anul 2001, Numar, 16
Sibiu, Anul 2002, Numar, 16
Sibiu, Anul 2003, Numar, 17
Sibiu, Anul 2004, Numar, 17
Sibiu, Anul 2005, Numar, 22
Sibiu, Anul 2006, Numar, 17
Sibiu, Anul 2007, Numar, 19
Sibiu, Anul 2008, Numar, 20
Sibiu, Anul 2009, Numar, 20
Sibiu, Anul 2010, Numar, 18
Sibiu, Anul 2011, Numar, 26
Sibiu, Anul 2012, Numar, 21
Sibiu, Anul 2013, Numar, 26
Sibiu, Anul 2014, Numar, 25
Sibiu, Anul 2015, Numar, 23
Sibiu, Anul 2016, Numar, 25
Sibiu, Anul 2017, Numar, 25
MACROREGIUNEA DOI, Anul 1990, Numar, 142
MACROREGIUNEA DOI, Anul 1991, Numar, 141
MACROREGIUNEA DOI, Anul 1992, Numar, 137
MACROREGIUNEA DOI, Anul 1993, Numar, 136
MACROREGIUNEA DOI, Anul 1994, Numar, 139
MACROREGIUNEA DOI, Anul 1995, Numar, 139
MACROREGIUNEA DOI, Anul 1996, Numar, 152
MACROREGIUNEA DOI, Anul 1997, Numar, 167
MACROREGIUNEA DOI, Anul 1998, Numar, 166
MACROREGIUNEA DOI, Anul 1999, Numar, 168
MACROREGIUNEA DOI, Anul 2000, Numar, 166
MACROREGIUNEA DOI, Anul 2001, Numar, 169
MACROREGIUNEA DOI, Anul 2002, Numar, 173
MACROREGIUNEA DOI, Anul 2003, Numar, 175
MACROREGIUNEA DOI, Anul 2004, Numar, 178
MACROREGIUNEA DOI, Anul 2005, Numar, 195
MACROREGIUNEA DOI, Anul 2006, Numar, 194
MACROREGIUNEA DOI, Anul 2007, Numar, 201
MACROREGIUNEA DOI, Anul 2008, Numar, 201
MACROREGIUNEA DOI, Anul 2009, Numar, 203
MACROREGIUNEA DOI, Anul 2010, Numar, 198
MACROREGIUNEA DOI, Anul 2011, Numar, 201
MACROREGIUNEA DOI, Anul 2012, Numar, 192
MACROREGIUNEA DOI, Anul 2013, Numar, 203
MACROREGIUNEA DOI, Anul 2014, Numar, 201
MACROREGIUNEA DOI, Anul 2015, Numar, 197
MACROREGIUNEA DOI, Anul 2016, Numar, 200
MACROREGIUNEA DOI, Anul 2017, Numar, 201
Regiunea NORD-EST, Anul 1990, Numar, 87
Regiunea NORD-EST, Anul 1991, Numar, 87
Regiunea NORD-EST, Anul 1992, Numar, 90
Regiunea NORD-EST, Anul 1993, Numar, 90
Regiunea NORD-EST, Anul 1994, Numar, 91
Regiunea NORD-EST, Anul 1995, Numar, 91
Regiunea NORD-EST, Anul 1996, Numar, 97
Regiunea NORD-EST, Anul 1997, Numar, 107
Regiunea NORD-EST, Anul 1998, Numar, 109
Regiunea NORD-EST, Anul 1999, Numar, 107
Regiunea NORD-EST, Anul 2000, Numar, 104
Regiunea NORD-EST, Anul 2001, Numar, 108
Regiunea NORD-EST, Anul 2002, Numar, 112
Regiunea NORD-EST, Anul 2003, Numar, 115
Regiunea NORD-EST, Anul 2004, Numar, 117
Regiunea NORD-EST, Anul 2005, Numar, 125
Regiunea NORD-EST, Anul 2006, Numar, 124
Regiunea NORD-EST, Anul 2007, Numar, 129
Regiunea NORD-EST, Anul 2008, Numar, 126
Regiunea NORD-EST, Anul 2009, Numar, 127
Regiunea NORD-EST, Anul 2010, Numar, 124
Regiunea NORD-EST, Anul 2011, Numar, 126
Regiunea NORD-EST, Anul 2012, Numar, 118
Regiunea NORD-EST, Anul 2013, Numar, 124
Regiunea NORD-EST, Anul 2014, Numar, 126
Regiunea NORD-EST, Anul 2015, Numar, 127
Regiunea NORD-EST, Anul 2016, Numar, 128
Regiunea NORD-EST, Anul 2017, Numar, 127
Bacau, Anul 1990, Numar, 12
